Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,120,246,244,275,284,303,196,304,0.000%,.39824,0.32,0.10
Send OTP ,120,560,553,623,639,674,474,674,0.000%,.39779,0.30,0.13
OpenLogin,120,1949,1779,2659,2742,2859,1335,3009,0.000%,.39500,2.63,0.18
Product Listing Page (PLP),120,15,15,18,20,37,13,44,0.000%,.39701,14.79,0.22
Get Product List for Compare,120,243,241,266,276,314,200,349,0.000%,.39671,0.32,0.14
To Add Product To Compare,120,725,746,807,831,886,242,887,0.000%,.39610,0.33,0.16
Get Compare List after adding Product,120,800,782,947,1014,1123,600,1208,0.000%,.39589,0.52,0.14
To Remove Product from Compare List ,120,652,717,815,830,929,215,978,0.000%,.39576,0.32,0.16
Product Description Page (PDP),120,1282,1183,1663,1683,1779,900,1806,0.000%,.39438,28.16,0.11
Get Product details with seller,120,1101,1099,1218,1241,1294,872,1435,0.000%,.39431,2.71,0.11
Add Product to WishList,120,4790,4799,5397,5517,5753,3660,5864,0.000%,.39080,0.28,0.12
Add To Cart,119,4309,4351,5019,5715,6002,1842,6083,0.000%,.39150,0.42,0.29
Buy Now,117,3993,3973,5419,5589,5937,2930,5958,0.000%,.39224,0.43,0.23
Instabuy pop-up,113,1667,1706,1858,1899,2047,213,2059,3.540%,.38556,1.70,0.12
Exchange Pop-up,111,362,360,393,406,462,291,504,0.000%,.38518,1.38,0.10
Remove Exchange,111,261,257,290,299,325,223,329,0.000%,.38534,0.31,0.14
Deactivate Exchange,111,279,273,314,332,392,229,413,0.000%,.38530,0.31,0.14
Notify Me (if product is out of stock) ,111,239,238,260,271,308,195,310,0.000%,.38532,0.30,0.18
Place Order,111,2740,2532,3921,3988,4324,222,4347,3.604%,.38087,0.49,0.14
TOTAL,2224,1386,747,4249,4647,5552,13,6083,0.360%,7.07951,53.95,2.77
