Login Ui Page,91,148,143,175,187,225,123,248,0.000%,.30368,0.23,0.08
Send OTP ,91,447,442,481,497,533,400,545,0.000%,.30340,0.22,0.10
OpenLogin ,91,1027,1021,1158,1182,1291,858,1321,0.000%,.30279,12.71,0.14
Product Listing Page (PLP),91,23,19,31,35,120,12,239,0.000%,.30366,0.88,0.17
Get Product List for Compare,91,163,163,186,191,198,135,272,0.000%,.30353,0.24,0.09
To Add Product To Compare,91,528,512,620,651,717,461,722,0.000%,.30320,0.26,0.11
Get Compare List after adding Product,91,539,528,633,657,707,434,726,0.000%,.30339,0.43,0.09
To Remove Product from Compare List ,91,547,535,635,661,744,452,749,0.000%,.30331,0.24,0.11
Product Description Page (PDP),90,900,905,995,1039,1098,754,1181,0.000%,.31673,29.11,0.09
Get Product details with seller,90,876,876,986,1000,1023,737,1109,0.000%,.31665,4.08,0.09
Add Product to WishList,90,1065,1054,1200,1234,1298,739,1316,0.000%,.31635,0.22,0.10
Add To Cart,90,3036,3171,3492,3616,3899,2024,4146,0.000%,.31449,0.34,0.26
Buy Now ,90,2947,2958,3334,3547,4162,2047,4865,0.000%,.31296,0.34,0.18
Instabuy pop-up,90,1352,1382,1749,1812,1949,136,2503,6.667%,.31403,1.20,0.10
Exchange Pop-up,89,259,256,288,304,314,227,335,0.000%,.31242,1.12,0.08
Remove Exchange,88,183,177,211,217,248,158,251,0.000%,.31106,0.24,0.11
Deactivate Exchange,87,184,182,207,222,234,160,242,0.000%,.30817,0.24,0.11
Notify Me (if product is out of stock),85,144,142,159,171,182,124,195,0.000%,.30310,0.23,0.14
Place Order,83,913,527,1779,1935,1959,145,1971,0.000%,.29544,24.65,0.11
TOTAL,1700,806,505,2198,3060,3474,12,4865,0.353%,5.46241,70.86,2.10
