Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,148,148,148,148,148,148,148,0.000%,6.75676,5.22,1.74
Send OTP ,1,488,488,488,488,488,488,488,0.000%,2.04918,1.52,0.69
OpenLogin,1,5048,5048,5048,5048,5048,5048,5048,0.000%,.19810,2.89,0.09
Product Listing Page (PLP),1,121,121,121,121,121,121,121,0.000%,8.26446,23.95,4.56
Get Product List for Compare,1,161,161,161,161,161,161,161,0.000%,6.21118,4.96,1.86
To Add Product To Compare,1,645,645,645,645,645,645,645,0.000%,1.55039,1.22,0.58
Get Compare List after adding Product,1,527,527,527,527,527,527,527,0.000%,1.89753,2.07,0.59
To Remove Product from Compare List ,1,492,492,492,492,492,492,492,0.000%,2.03252,1.60,0.73
Product Description Page (PDP),1,806,806,806,806,806,806,806,0.000%,1.24069,18.39,0.34
Get Product details with seller,1,790,790,790,790,790,790,790,0.000%,1.26582,17.41,0.36
Add Product to WishList,1,1044,1044,1044,1044,1044,1044,1044,0.000%,.95785,0.67,0.30
Add To Cart,1,5121,5121,5121,5121,5121,5121,5121,0.000%,.19527,0.21,0.16
Buy Now ,1,5204,5204,5204,5204,5204,5204,5204,0.000%,.19216,0.21,0.11
Instabuy pop-up,1,1411,1411,1411,1411,1411,1411,1411,0.000%,.70872,3.54,0.22
Exchange Pop-up,1,321,321,321,321,321,321,321,0.000%,3.11526,11.14,0.77
Remove Exchange,1,183,183,183,183,183,183,183,0.000%,5.46448,4.23,1.96
Deactivate Exchange,1,185,185,185,185,185,185,185,0.000%,5.40541,4.20,1.94
Notify Me (if product is out of stock) ,1,215,215,215,215,215,215,215,0.000%,4.65116,3.57,2.13
Place Order,1,7251,7251,7251,7251,7251,7251,7251,0.000%,.13791,0.16,0.05
TOTAL,19,1587,527,5121,5204,7251,121,7251,0.000%,.62906,2.18,0.24
