Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,209,209,209,209,209,209,209,0.000%,4.78469,3.70,1.23
Send OTP ,1,466,466,466,466,466,466,466,0.000%,2.14592,1.59,0.72
OpenLogin,1,4176,4176,4176,4176,4176,4176,4176,0.000%,.23946,1.56,0.11
Product Listing Page (PLP),1,15,15,15,15,15,15,15,0.000%,66.66667,1817.38,37.04
Get Product List for Compare,1,166,166,166,166,166,166,166,0.000%,6.02410,4.81,2.11
To Add Product To Compare,1,516,516,516,516,516,516,516,0.000%,1.93798,1.53,0.80
Get Compare List after adding Product,1,569,569,569,569,569,569,569,0.000%,1.75747,2.07,0.64
To Remove Product from Compare List ,1,512,512,512,512,512,512,512,0.000%,1.95312,1.54,0.76
Product Description Page (PDP),1,1782,1782,1782,1782,1782,1782,1782,0.000%,.56117,55.67,0.16
Get Product details with seller,1,794,794,794,794,794,794,794,0.000%,1.25945,9.20,0.37
Add Product to WishList,1,3529,3529,3529,3529,3529,3529,3529,0.000%,.28337,0.20,0.09
Add To Cart,1,6017,6017,6017,6017,6017,6017,6017,0.000%,.16620,0.18,0.14
Buy Now ,1,5419,5419,5419,5419,5419,5419,5419,0.000%,.18454,0.20,0.11
Instabuy pop-up,1,1470,1470,1470,1470,1470,1470,1470,0.000%,.68027,5.34,0.21
Exchange Pop-up,1,310,310,310,310,310,310,310,0.000%,3.22581,11.53,0.80
Remove Exchange,1,193,193,193,193,193,193,193,0.000%,5.18135,4.01,1.87
Deactivate Exchange,1,201,201,201,201,201,201,201,0.000%,4.97512,3.87,1.80
Notify Me (if product is out of stock) ,1,242,242,242,242,242,242,242,0.000%,4.13223,3.17,1.92
Place Order,1,7509,7509,7509,7509,7509,7509,7509,0.000%,.13317,0.17,0.05
TOTAL,19,1794,516,5419,6017,7509,15,7509,0.000%,.55691,4.78,0.22
