Login Ui Page,287,2480,2592,2944,3058,3189,542,3223,0.000%,.22397,0.17,0.06
Send OTP ,287,2905,3065,3380,3457,3642,758,4141,0.000%,.22347,0.17,0.08
OpenLogin ,287,25920,19246,50195,52327,55918,5263,61529,0.000%,.21989,1.44,0.10
Product Listing Page (PLP),278,15,13,21,30,37,10,92,0.000%,.21715,5.92,0.12
Get Product List for Compare,276,2793,2911,3248,3340,3570,251,3648,0.000%,.21570,0.17,0.08
To Add Product To Compare,275,9688,10101,11105,11565,12581,371,15185,0.000%,.21507,0.17,0.09
Get Compare List after adding Product,274,9767,10024,11657,12057,14006,1821,14156,0.000%,.21476,0.29,0.08
To Remove Product from Compare List ,273,5908,3276,10510,10884,11470,1041,12667,0.000%,.21339,0.17,0.08
Product Description Page (PDP),269,14677,15101,16345,16765,17591,5376,20182,0.000%,.21075,9.32,0.06
Get Product details with seller,265,14353,14695,16010,16379,17025,5604,17527,0.000%,.20842,1.46,0.06
Add Product to WishList,261,35610,37087,41236,42089,44092,3019,45208,1.149%,.20496,0.14,0.06
Add To Cart,252,32020,16362,69358,71447,73085,2924,75636,1.984%,.20020,0.19,0.17
Buy Now ,249,30756,16347,65793,67070,69142,2852,69557,2.008%,.19905,0.19,0.11
Instabuy pop-up,242,6842,3053,16980,18420,21440,2343,22817,3.719%,.19738,0.42,0.06
Exchange Pop-up,238,4621,4593,5163,5292,5526,3670,5684,0.000%,.19809,0.71,0.05
Remove Exchange,238,3148,3113,3510,3620,3912,2367,4241,0.000%,.19825,0.15,0.07
Deactivate Exchange,238,3192,3131,3508,3699,6225,2541,7372,0.000%,.19822,0.15,0.07
Notify Me (if product is out of stock),238,3038,2993,3376,3471,4964,2441,5312,0.000%,.19828,0.15,0.09
Place Order,237,15605,10235,30770,67788,77215,2547,79733,4.641%,.20045,15.70,0.07
TOTAL,4964,11719,5526,31425,44092,68161,10,79733,0.665%,3.78406,34.94,1.48
