Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,654,67,50,134,182,219,37,292,0.00%,0.72726,0.72,0.19
OpenLogin ,654,10935,11024,12821,18355,20313,2488,21419,0.00%,0.71822,1.19,0.38
TriggerOTP,648,9819,10431,11974,12289,13002,1008,13731,18.83%,0.715,2.39,0.51
Product Listing Page (PLP),643,19,18,22,25,50,14,361,0.00%,0.71887,23.07,0.36
Get Product List for Compare,100,4762,4145,8354,8383,8662,525,9558,0.00%,1.25494,1.02,0.38
To Remove Product from Compare List ,100,7624,8520,10669,11023,12315,1585,12379,0.00%,1.12406,0.94,0.41
Get Compare List after adding/removing Product,100,5709,6753,8304,8967,9343,840,9943,0.00%,1.05472,0.86,0.33
Product Description Page (PDP),643,8982,9226,10518,10782,11333,1076,11832,0.00%,0.71424,6.13,0.2
Get Product details with seller,632,9026,9228,10542,10872,11405,1124,11923,0.00%,0.70221,3.53,0.2
Add Product to WishList,613,13197,14078,15589,16093,16850,642,17558,17.62%,0.6811,0.49,0.2
Add To Cart,607,13868,13395,23091,24625,26083,944,28611,0.00%,0.67523,0.62,0.39
Buy Now ,603,14061,13734,23394,24646,26200,1109,28205,0.00%,0.67115,0.62,0.39
Instabuy pop-up,598,12026,12863,15087,15745,16609,1591,20315,6.86%,0.66617,1.38,0.2
Exchange Pop-up,587,9980,10040,11145,11372,11821,2782,12295,0.00%,0.65793,2.39,0.17
Remove Exchange,579,9080,9090,10179,10394,10763,2186,11451,0.00%,0.65202,0.52,0.24
Deactivate Exchange,576,9059,9051,10183,10462,10961,2416,11396,0.00%,0.64855,0.52,0.24
Notify Me (if product is out of stock),569,8843,8869,9942,10340,10785,2549,11163,0.00%,0.64347,0.5,0.3
Place Order,563,12855,11924,16266,23127,39908,3643,43729,0.00%,0.6366,10.86,0.24
TOTAL,9469,9256,9535,14476,15677,24425,14,43729,2.86%,10.39691,54.18,4.25
