Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,52,385,380,510,580,617,117,627,0.000%,.17393,0.13,0.04
TriggerOTP,52,769,754,958,966,1058,481,1077,0.000%,.17375,0.13,0.06
OpenLogin ,52,4065,2723,8930,9007,9462,1306,9582,0.000%,.17247,16.35,0.08
Product Listing Page (PLP),52,13,13,18,20,21,9,28,0.000%,.17342,5.06,0.10
Get Product List for Compare,52,455,468,729,737,775,127,825,0.000%,.17301,0.14,0.05
To Add Product To Compare,52,1585,1660,2024,2097,2203,386,2219,0.000%,.17217,0.14,0.07
Get Compare List after adding Product,51,1642,1741,2254,2331,2563,308,2580,0.000%,.17252,0.22,0.05
To Remove Product from Compare List ,51,1645,1709,2098,2180,2332,549,2392,0.000%,.17159,0.14,0.06
Product Description Page (PDP),51,2487,2443,3189,3341,3490,1386,3569,0.000%,.17106,3.79,0.05
Get Product details with seller,49,2519,2573,3014,3223,3288,1079,3288,0.000%,.16866,0.83,0.05
Add Product to WishList,49,3028,3064,3604,3844,4731,1952,4731,0.000%,.16813,0.12,0.05
Add To Cart,47,8269,6582,13500,13950,19020,3639,19020,0.000%,.16223,0.17,0.14
Buy Now ,45,7998,6422,12160,13003,16313,3722,16313,0.000%,.16077,0.17,0.09
Instabuy pop-up,44,2846,2844,3417,3540,3705,2037,3705,0.000%,.16349,0.69,0.05
Exchange Pop-up,44,840,860,1137,1176,1197,293,1197,0.000%,.16503,0.59,0.04
Remove Exchange,43,528,536,772,779,816,153,816,0.000%,.16834,0.13,0.06
Deactivate Exchange,43,549,587,796,807,836,145,836,0.000%,.16825,0.13,0.06
Notify Me (if product is out of stock),43,412,392,640,674,712,130,712,0.000%,.16850,0.13,0.08
Place Order,43,5718,3967,13577,14083,15141,510,15141,0.000%,.16605,0.19,0.06
TOTAL,915,2366,1575,5797,9007,13577,9,19020,0.000%,2.91964,27.80,1.13
