Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,196,196,196,196,196,196,196,0.000%,5.10204,3.95,1.31
Send OTP ,1,441,441,441,441,441,441,441,0.000%,2.26757,1.68,0.76
OpenLogin,1,3608,3608,3608,3608,3608,3608,3608,0.000%,.27716,4.05,0.13
Product Listing Page (PLP),1,16,16,16,16,16,16,16,0.000%,62.50000,2135.74,34.48
Get Product List for Compare,1,146,146,146,146,146,146,146,0.000%,6.84932,5.46,2.05
To Add Product To Compare,1,462,462,462,462,462,462,462,0.000%,2.16450,1.70,0.82
Get Compare List after adding Product,1,423,423,423,423,423,423,423,0.000%,2.36407,2.58,0.73
To Remove Product from Compare List ,1,456,456,456,456,456,456,456,0.000%,2.19298,1.73,0.79
Product Description Page (PDP),1,782,782,782,782,782,782,782,0.000%,1.27877,18.95,0.35
Get Product details with seller,1,735,735,735,735,735,735,735,0.000%,1.36054,18.71,0.39
Add Product to WishList,1,952,952,952,952,952,952,952,0.000%,1.05042,0.73,0.33
Add To Cart,1,4473,4473,4473,4473,4473,4473,4473,0.000%,.22356,0.24,0.18
Buy Now ,1,4728,4728,4728,4728,4728,4728,4728,0.000%,.21151,0.23,0.12
Instabuy pop-up,1,1198,1198,1198,1198,1198,1198,1198,0.000%,.83472,4.13,0.25
Exchange Pop-up,1,273,273,273,273,273,273,273,0.000%,3.66300,13.10,0.91
Remove Exchange,1,180,180,180,180,180,180,180,0.000%,5.55556,4.30,1.99
Deactivate Exchange,1,166,166,166,166,166,166,166,0.000%,6.02410,4.68,2.16
Notify Me (if product is out of stock) ,1,171,171,171,171,171,171,171,0.000%,5.84795,4.49,2.68
Place Order,1,6225,6225,6225,6225,6225,6225,6225,0.000%,.16064,0.19,0.06
TOTAL,19,1349,456,4473,4728,6225,16,6225,0.000%,.73766,3.77,0.28
