Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,103,103,103,103,103,103,103,0.000%,9.70874,9.54,2.51
OpenLogin ,1,4244,4244,4244,4244,4244,4244,4244,0.000%,.23563,0.41,0.12
TriggerOTP,1,812,812,812,812,812,812,812,0.000%,1.23153,141.32,0.87
Product Listing Page (PLP),1,344,344,344,344,344,344,344,0.000%,2.90698,95.38,1.47
Get Product List for Compare,1,150,150,150,150,150,150,150,0.000%,6.66667,5.42,2.02
To Add Product To Compare ,1,428,428,428,428,428,428,428,0.000%,2.33645,1.87,0.88
Get Compare List after adding Product,1,394,394,394,394,394,394,394,0.000%,2.53807,2.79,0.80
To Remove Product from Compare List,1,420,420,420,420,420,420,420,0.000%,2.38095,1.91,0.85
Product Description Page (PDP),1,270,270,270,270,270,270,270,0.000%,3.70370,54.55,1.01
Get Product details with seller,1,279,279,279,279,279,279,279,0.000%,3.58423,46.04,1.03
Add Product to WishList,1,816,816,816,816,816,816,816,0.000%,1.22549,0.87,0.36
Add To Cart,1,6998,6998,6998,6998,6998,6998,6998,0.000%,.14290,0.15,0.10
Buy Now ,1,5238,5238,5238,5238,5238,5238,5238,0.000%,.19091,0.20,0.11
Instabuy pop-up,1,155,155,155,155,155,155,155,0.000%,6.45161,4.22,1.99
Exchange Pop-up,1,256,256,256,256,256,256,256,0.000%,3.90625,14.18,0.98
Remove Exchange,1,172,172,172,172,172,172,172,0.000%,5.81395,4.59,2.15
Deactivate Exchange,1,170,170,170,170,170,170,170,0.000%,5.88235,4.66,2.18
Notify Me (if product is out of stock),1,139,139,139,139,139,139,139,0.000%,7.19424,5.63,3.31
Place Order,1,455,455,455,455,455,455,455,0.000%,2.19780,1.77,0.83
TOTAL,19,1149,344,4244,5238,6998,103,6998,0.000%,.86921,8.77,0.35
