Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,102,66,56,76,116,195,37,725,0.000%,.33225,0.33,0.09
OpenLogin ,102,1362,1304,1620,1751,3364,911,3718,0.000%,.33093,0.58,0.17
TriggerOTP,102,1099,995,1415,1608,3268,584,4096,0.000%,.33153,1.20,0.24
Product Listing Page (PLP),102,382,44,1315,1506,1750,27,1965,0.000%,.33101,10.86,0.17
Get Product List for Compare,100,283,252,412,488,582,156,599,0.000%,.33004,0.27,0.10
To Add Product To Compare ,100,801,725,1136,1258,1419,454,1655,0.000%,.32943,0.28,0.12
Get Compare List after adding Product,100,788,697,1229,1327,1438,412,1479,0.000%,.32909,0.42,0.10
To Remove Product from Compare List,100,813,748,1181,1271,1465,437,1546,0.000%,.32896,0.27,0.12
Product Description Page (PDP),100,711,632,1047,1324,2404,344,2471,0.000%,.32826,13.06,0.09
Get Product details with seller,100,688,608,920,1025,2421,361,2690,0.000%,.32855,4.35,0.09
Add Product to WishList,100,2014,2010,2790,3032,3355,851,3591,0.000%,.32782,0.23,0.10
Notify Me (if product is out of stock),99,246,233,339,353,370,137,1074,0.000%,.33191,0.26,0.15
Add To Cart,99,10995,11913,24375,25296,28931,735,29381,0.000%,.31239,0.31,0.22
Buy Now ,95,5711,3263,17397,20618,26309,802,27090,0.000%,.31156,0.32,0.18
Instabuy pop-up,94,1599,1837,2666,3648,4633,172,6017,5.319%,.32265,0.88,0.10
Exchange Pop-up,94,463,423,663,727,883,276,955,0.000%,.32258,1.17,0.08
Remove Exchange,93,285,268,397,421,490,169,564,0.000%,.32143,0.25,0.12
Deactivate Exchange,93,298,285,423,437,508,167,548,0.000%,.32144,0.25,0.12
Place Order,93,2322,2938,3812,3996,4108,195,4474,0.000%,.31904,0.33,0.12
TOTAL,1868,1620,676,2970,3848,22091,27,29381,0.268%,5.73953,33.35,2.31
