Login Ui Page,290,422,431,548,571,643,173,686,0.000%,.47558,0.37,0.12
Send OTP ,289,796,804,930,972,1024,447,1093,0.000%,.47365,0.35,0.16
OpenLogin ,288,4365,3228,9375,10227,10766,1169,11825,0.000%,.47701,19.09,0.22
Product Listing Page (PLP),288,14,14,17,18,22,11,32,0.000%,.47793,15.89,0.26
Get Product List for Compare,288,513,512,649,689,721,206,763,0.000%,.47749,0.38,0.17
To Add Product To Compare,288,1960,1760,2156,2265,2403,852,32140,0.000%,.47637,0.40,0.19
Get Compare List after adding Product,287,1838,1869,2255,2429,2710,258,3229,0.000%,.47942,0.64,0.18
To Remove Product from Compare List ,287,1887,1750,2060,2134,2431,882,30290,0.000%,.47817,0.38,0.17
Product Description Page (PDP),285,2775,2756,3307,3501,3748,1707,4184,0.000%,.47606,26.84,0.13
Get Product details with seller,281,2773,2699,3284,3459,3628,1500,21328,0.000%,.47157,6.03,0.13
Add Product to WishList,279,3697,3443,4622,5043,6057,2224,21898,0.000%,.47082,0.33,0.15
Add To Cart,277,8738,6960,13905,15884,37143,3934,43243,0.000%,.46885,0.49,0.39
Buy Now ,273,8182,6698,13269,14278,35802,3047,37147,0.000%,.46857,0.49,0.27
Instabuy pop-up,269,3275,3044,3871,4177,4473,375,29765,2.230%,.47119,2.10,0.14
Exchange Pop-up,267,935,879,1072,1133,1288,312,17149,0.000%,.47313,1.69,0.12
Remove Exchange,266,604,609,755,799,859,243,1067,0.000%,.47346,0.37,0.17
Deactivate Exchange,266,595,592,741,763,841,258,974,0.000%,.47355,0.37,0.17
Notify Me (if product is out of stock),265,474,482,589,619,682,222,863,0.000%,.47342,0.36,0.22
Place Order,264,2758,1430,5424,6685,15528,248,15967,0.000%,.47118,41.22,0.17
TOTAL,5297,2446,1650,5888,7212,14659,11,43243,0.113%,8.61791,112.12,3.37
