Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,41,180,154,279,294,305,98,305,0.000%,.13578,0.10,0.03
TriggerOTP,41,474,454,590,597,642,377,642,0.000%,.13573,0.10,0.05
OpenLogin ,41,2628,1764,4774,5302,6875,1185,6875,0.000%,.13490,14.82,0.06
Product Listing Page (PLP),39,16,14,19,23,75,9,75,0.000%,.13275,3.87,0.07
Get Product List for Compare,39,174,159,268,310,323,98,323,0.000%,.13264,0.11,0.04
To Add Product To Compare,39,554,530,751,801,989,300,989,0.000%,.13248,0.11,0.05
Get Compare List after adding Product,39,508,492,795,869,1049,273,1049,0.000%,.13255,0.16,0.04
To Remove Product from Compare List ,39,591,544,874,1039,1319,298,1319,0.000%,.13253,0.11,0.05
Product Description Page (PDP),38,911,882,1284,1376,1607,489,1607,0.000%,.13084,4.57,0.04
Get Product details with seller,38,829,757,1144,1320,1373,481,1373,0.000%,.13101,0.88,0.04
Add Product to WishList,38,1046,941,1559,1577,1742,584,1742,0.000%,.13110,0.09,0.04
Add To Cart,37,3815,3138,6274,6649,11805,1332,11805,0.000%,.13587,0.14,0.11
Buy Now ,37,3824,3581,6042,6369,7578,1283,7578,0.000%,.13441,0.14,0.08
Instabuy pop-up,37,1696,1543,3243,3570,4121,116,4121,0.000%,.13356,0.45,0.04
Exchange Pop-up,37,266,228,418,440,598,153,598,0.000%,.13363,0.48,0.03
Remove Exchange,37,231,217,304,374,613,118,613,0.000%,.13377,0.10,0.05
Deactivate Exchange,37,220,178,339,354,473,127,473,0.000%,.13372,0.10,0.05
Notify Me (if product is out of stock),36,187,141,303,332,397,100,397,0.000%,.13383,0.10,0.06
Place Order,36,3173,2265,6759,6962,7432,345,7432,0.000%,.13366,0.14,0.05
TOTAL,726,1109,508,3215,4774,6760,9,11805,0.000%,2.36683,25.79,0.91
