Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,119,119,119,119,119,119,119,0.000%,8.40336,6.49,2.16
TriggerOTP ,1,464,464,464,464,464,464,464,0.000%,2.15517,1.60,0.72
OpenLogin 7774034304,1,1084,1084,1084,1084,1084,1084,1084,0.000%,.92251,3.39,0.42
Product Listing Page (PLP),1,14,14,14,14,14,14,14,0.000%,71.42857,2084.40,39.41
Get Product List for Compare,1,148,148,148,148,148,148,148,0.000%,6.75676,5.40,2.02
To Add Product To Compare,1,1009,1009,1009,1009,1009,1009,1009,0.000%,.99108,0.78,0.38
Get Compare List after adding Product,1,456,456,456,456,456,456,456,0.000%,2.19298,2.40,0.68
To Remove Product from Compare List ,1,473,473,473,473,473,473,473,0.000%,2.11416,1.67,0.77
Product Description Page (PDP),1,507,507,507,507,507,507,507,0.000%,1.97239,97.99,0.55
Get Product details with seller,1,511,511,511,511,511,511,511,0.000%,1.95695,11.22,0.57
Add Product to WishList,1,579,579,579,579,579,579,579,0.000%,1.72712,1.21,0.55
Add To Cart,1,2738,2738,2738,2738,2738,2738,2738,0.000%,.36523,0.39,0.30
Buy Now ,1,3198,3198,3198,3198,3198,3198,3198,0.000%,.31270,0.34,0.18
Instabuy pop-up,1,1240,1240,1240,1240,1240,1240,1240,0.000%,.80645,2.96,0.24
Exchange Pop-up,1,156,156,156,156,156,156,156,0.000%,6.41026,22.97,1.58
Remove Exchange,1,118,118,118,118,118,118,118,0.000%,8.47458,6.56,3.04
Deactivate Exchange,1,125,125,125,125,125,125,125,0.000%,8.00000,6.23,2.88
Notify Me (if product is out of stock),1,96,96,96,96,96,96,96,0.000%,10.41667,8.01,4.85
Place Order,1,1449,1449,1449,1449,1449,1449,1449,0.000%,.69013,0.82,0.26
TOTAL,19,762,473,1449,2738,3198,14,3198,0.000%,1.31062,7.37,0.51
