Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,132,132,132,132,132,132,132,0.000%,7.57576,5.83,1.95
TriggerOTP ,1,405,405,405,405,405,405,405,0.000%,2.46914,1.83,0.82
OpenLogin 7774034304,1,1199,1199,1199,1199,1199,1199,1199,0.000%,.83403,3.06,0.37
Product Listing Page (PLP),1,18,18,18,18,18,18,18,0.000%,55.55556,1621.20,30.65
Get Product List for Compare,1,112,112,112,112,112,112,112,0.000%,8.92857,7.13,2.67
To Add Product To Compare,1,314,314,314,314,314,314,314,0.000%,3.18471,2.50,1.21
Get Compare List after adding Product,1,283,283,283,283,283,283,283,0.000%,3.53357,3.88,1.09
To Remove Product from Compare List ,1,304,304,304,304,304,304,304,0.000%,3.28947,2.60,1.19
Product Description Page (PDP),1,578,578,578,578,578,578,578,0.000%,1.73010,85.91,0.48
Get Product details with seller,1,763,763,763,763,763,763,763,0.000%,1.31062,7.51,0.38
Add Product to WishList,1,575,575,575,575,575,575,575,0.000%,1.73913,1.21,0.55
Add To Cart,1,6407,6407,6407,6407,6407,6407,6407,0.000%,.15608,0.17,0.13
Buy Now ,1,2564,2564,2564,2564,2564,2564,2564,0.000%,.39002,0.42,0.23
Instabuy pop-up,1,1337,1337,1337,1337,1337,1337,1337,0.000%,.74794,2.74,0.23
Exchange Pop-up,1,156,156,156,156,156,156,156,0.000%,6.41026,22.92,1.58
Remove Exchange,1,118,118,118,118,118,118,118,0.000%,8.47458,6.56,3.04
Deactivate Exchange,1,129,129,129,129,129,129,129,0.000%,7.75194,6.03,2.79
Notify Me (if product is out of stock),1,96,96,96,96,96,96,96,0.000%,10.41667,8.01,4.85
Place Order,1,1604,1604,1604,1604,1604,1604,1604,0.000%,.62344,0.74,0.23
TOTAL,19,899,314,1604,2564,6407,18,6407,0.000%,1.11111,6.25,0.43
