Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,173,173,173,173,173,173,173,0.000%,5.78035,4.58,1.48
Send OTP ,1,427,427,427,427,427,427,427,0.000%,2.34192,1.78,0.79
OpenLogin,1,1223,1223,1223,1223,1223,1223,1223,0.000%,.81766,5.46,0.37
Product Listing Page (PLP),1,20,20,20,20,20,20,20,0.000%,50.00000,1852.64,27.59
Get Product List for Compare,1,166,166,166,166,166,166,166,0.000%,6.02410,4.92,2.11
To Add Product To Compare,1,488,488,488,488,488,488,488,0.000%,2.04918,1.65,0.93
Get Compare List after adding Product,1,498,498,498,498,498,498,498,0.000%,2.00803,2.67,0.73
To Remove Product from Compare List ,1,494,494,494,494,494,494,494,0.000%,2.02429,1.64,0.88
Product Description Page (PDP),1,708,708,708,708,708,708,708,0.000%,1.41243,16.55,0.45
Get Product details with seller,1,704,704,704,704,704,704,704,0.000%,1.42045,3.69,0.47
Add Product to WishList,1,1877,1877,1877,1877,1877,1877,1877,0.000%,.53277,0.38,0.17
Add To Cart,1,2317,2317,2317,2317,2317,2317,2317,0.000%,.43159,0.42,0.38
Buy Now ,1,3192,3192,3192,3192,3192,3192,3192,0.000%,.31328,0.34,0.19
Instabuy pop-up,1,1040,1040,1040,1040,1040,1040,1040,0.000%,.96154,3.78,0.29
Exchange Pop-up,1,238,238,238,238,238,238,238,0.000%,4.20168,15.10,1.04
Remove Exchange,1,166,166,166,166,166,166,166,0.000%,6.02410,4.77,2.17
Deactivate Exchange,1,171,171,171,171,171,171,171,0.000%,5.84795,4.65,2.11
Notify Me (if product is out of stock) ,1,163,163,163,163,163,163,163,0.000%,6.13497,4.82,3.09
Place Order,1,1308,1308,1308,1308,1308,1308,1308,0.000%,.76453,0.99,0.28
TOTAL,19,809,494,1877,2317,3192,20,3192,0.000%,1.23529,5.03,0.51
