Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,135,135,135,135,135,135,135,0.000%,7.40741,5.74,1.90
Send OTP ,1,493,493,493,493,493,493,493,0.000%,2.02840,1.50,0.68
OpenLogin,1,6974,6974,6974,6974,6974,6974,6974,0.000%,.14339,2.10,0.06
Product Listing Page (PLP),1,15,15,15,15,15,15,15,0.000%,66.66667,2227.99,36.78
Get Product List for Compare,1,176,176,176,176,176,176,176,0.000%,5.68182,4.53,1.70
To Add Product To Compare,1,2864,2864,2864,2864,2864,2864,2864,0.000%,.34916,0.27,0.13
Get Compare List after adding Product,1,445,445,445,445,445,445,445,0.000%,2.24719,2.45,0.69
To Remove Product from Compare List ,1,505,505,505,505,505,505,505,0.000%,1.98020,1.56,0.71
Product Description Page (PDP),1,1008,1008,1008,1008,1008,1008,1008,0.000%,.99206,14.94,0.27
Get Product details with seller,1,756,756,756,756,756,756,756,0.000%,1.32275,18.51,0.38
Add Product to WishList,1,944,944,944,944,944,944,944,0.000%,1.05932,0.74,0.34
Add To Cart,1,8504,8504,8504,8504,8504,8504,8504,0.000%,.11759,0.13,0.10
Buy Now ,1,9094,9094,9094,9094,9094,9094,9094,0.000%,.10996,0.12,0.06
Instabuy pop-up,1,1844,1844,1844,1844,1844,1844,1844,0.000%,.54230,2.71,0.16
Exchange Pop-up,1,249,249,249,249,249,249,249,0.000%,4.01606,14.36,0.99
Remove Exchange,1,594,594,594,594,594,594,594,0.000%,1.68350,1.30,0.60
Deactivate Exchange,1,940,940,940,940,940,940,940,0.000%,1.06383,0.83,0.38
Notify Me (if product is out of stock) ,1,137,137,137,137,137,137,137,0.000%,7.29927,5.60,3.35
Place Order,1,10876,10876,10876,10876,10876,10876,10876,0.000%,.09195,0.11,0.03
TOTAL,19,2450,756,8504,9094,10876,15,10876,0.000%,.40801,2.08,0.16
