Login Ui Page,413,1867,1726,1951,2010,2342,289,35556,0.000%,.45840,0.35,0.12
Send OTP ,410,2564,2590,2862,3042,3607,595,35682,0.000%,.45541,0.34,0.15
OpenLogin ,408,29781,11647,112734,120002,120007,3590,120038,5.147%,.44407,19.98,0.20
Product Listing Page (PLP),393,23,16,35,60,154,10,313,0.000%,.44228,14.78,0.24
Get Product List for Compare,393,2743,2253,2479,2606,33769,179,36063,0.000%,.44110,0.35,0.13
To Add Product To Compare,392,10027,8394,9334,9794,62960,1770,67057,0.000%,.43834,0.36,0.17
Get Compare List after adding Product,385,9231,8326,9833,10279,60929,2154,101652,0.000%,.43180,0.59,0.13
To Remove Product from Compare List ,379,9049,8304,9152,9763,11855,2079,99360,0.000%,.42665,0.34,0.15
Product Description Page (PDP),378,13563,12865,14200,14659,16315,4416,101782,0.000%,.42601,26.72,0.12
Get Product details with seller,369,13208,12529,13521,13943,15553,6696,100866,0.000%,.41908,4.70,0.12
Add Product to WishList,363,17091,15744,21055,22341,76472,2007,114428,6.887%,.41640,0.29,0.13
Add To Cart,358,37286,27376,81647,120019,120059,1208,120130,16.201%,.41203,0.40,0.34
Buy Now ,342,36428,25746,113039,120022,120043,1051,120430,17.836%,.40287,0.39,0.23
Instabuy pop-up,325,12436,12146,17758,20720,27648,1199,105829,12.923%,.39637,1.46,0.12
Exchange Pop-up,321,4135,3888,4265,4360,6944,2963,39286,0.000%,.40206,1.44,0.10
Remove Exchange,320,2748,2617,2851,2955,3904,1924,36020,0.000%,.40453,0.31,0.15
Deactivate Exchange,319,2938,2661,3074,3483,4429,1678,36349,0.000%,.40658,0.32,0.15
Notify Me (if product is out of stock),319,2491,2011,2265,2419,35448,1491,35895,0.000%,.40701,0.31,0.19
Place Order,318,16259,8812,26514,62810,120006,1177,120012,15.409%,.39357,67.53,0.13
TOTAL,6905,11750,7777,24530,35138,120005,10,120430,3.707%,7.43164,129.15,2.84
