Login Ui Page,44,167,153,245,265,299,134,299,0.000%,.14704,0.11,0.04
Send OTP ,44,446,442,471,480,509,416,509,0.000%,.14695,0.11,0.05
OpenLogin ,44,2148,1771,3409,4418,7072,1116,7072,0.000%,.14647,0.93,0.07
Product Listing Page (PLP),44,13,13,15,15,20,11,20,0.000%,.14734,3.90,0.08
Get Product List for Compare,44,168,166,185,186,188,153,188,0.000%,.14727,0.12,0.05
To Add Product To Compare,43,520,514,548,559,650,489,650,0.000%,.14494,0.11,0.06
Get Compare List after adding Product,43,516,505,551,564,598,475,598,0.000%,.14494,0.17,0.05
To Remove Product from Compare List ,42,175,172,186,204,229,155,229,0.000%,.14246,0.11,0.05
Product Description Page (PDP),41,777,772,826,840,880,714,880,0.000%,.13969,2.22,0.04
Get Product details with seller,40,770,761,834,848,904,707,904,0.000%,.13839,0.78,0.04
Add Product to WishList,40,2559,2557,2930,2949,3000,1689,3000,0.000%,.13738,0.10,0.04
Add To Cart,39,3522,3032,4644,10915,15512,815,15512,0.000%,.14637,0.15,0.12
Buy Now ,39,2856,2939,4545,4933,6501,908,6501,0.000%,.14675,0.15,0.08
Instabuy pop-up,39,1005,1315,1710,1814,3736,154,3736,0.000%,.14680,0.38,0.05
Exchange Pop-up,39,251,248,270,272,316,231,316,0.000%,.14676,0.52,0.04
Remove Exchange,39,179,175,192,194,211,167,211,0.000%,.14680,0.11,0.05
Deactivate Exchange,39,184,181,194,212,215,171,215,0.000%,.14680,0.11,0.05
Notify Me (if product is out of stock),39,142,139,152,153,180,133,180,0.000%,.14683,0.11,0.07
Place Order,39,2226,2025,4535,4586,11898,486,11898,0.000%,.14580,0.16,0.05
TOTAL,781,961,486,2819,3486,4891,11,15512,0.000%,2.54793,9.86,1.00
