Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,98,98,98,98,98,98,98,0.00%,10.20408,10.02,2.64
OpenLogin ,1,936,936,936,936,936,936,936,0.00%,1.06838,1.87,0.56
TriggerOTP,1,763,763,763,763,763,763,763,0.00%,1.31062,4.79,0.93
Product Listing Page (PLP),1,23,23,23,23,23,23,23,0.00%,43.47826,1210.9,24.2
Get Product List for Compare,1,131,131,131,131,131,131,131,0.00%,7.63359,6.21,2.32
To Add Product To Compare ,1,392,392,392,392,392,392,392,0.00%,2.55102,2.05,0.98
Get Compare List after adding Product,1,358,358,358,358,358,358,358,0.00%,2.7933,3.12,0.88
To Remove Product from Compare List,1,395,395,395,395,395,395,395,0.00%,2.53165,2.04,0.93
Product Description Page (PDP),1,227,227,227,227,227,227,227,0.00%,4.40529,46.38,1.24
Get Product details with seller,1,227,227,227,227,227,227,227,0.00%,4.40529,21.1,1.3
Add Product to WishList,1,639,639,639,639,639,639,639,0.00%,1.56495,1.12,0.46
Add To Cart,1,2053,2053,2053,2053,2053,2053,2053,0.00%,0.48709,0.52,0.28
Buy Now ,1,2031,2031,2031,2031,2031,2031,2031,0.00%,0.49237,0.53,0.29
Instabuy pop-up,1,1058,1058,1058,1058,1058,1058,1058,0.00%,0.94518,2.95,0.29
Exchange Pop-up,1,229,229,229,229,229,229,229,0.00%,4.36681,15.83,1.1
Remove Exchange,1,161,161,161,161,161,161,161,0.00%,6.21118,4.9,2.3
Deactivate Exchange,1,156,156,156,156,156,156,156,0.00%,6.41026,5.08,2.38
Notify Me (if product is out of stock),1,125,125,125,125,125,125,125,0.00%,8,6.27,3.75
Place Order,1,1275,1275,1275,1275,1275,1275,1275,0.00%,0.78431,0.92,0.29
TOTAL,19,593,358,1275,2031,2053,23,2053,0.00%,1.68365,5.87,0.67
