Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,95,66,60,94,100,129,43,177,0.000%,.31328,0.31,0.08
OpenLogin ,95,1475,1064,1741,4283,5170,847,6416,0.000%,.31196,0.54,0.16
TriggerOTP,95,768,721,969,1127,1255,563,1466,0.000%,.31238,1.32,0.22
Product Listing Page (PLP),94,20,19,27,30,38,15,43,0.000%,.31222,8.70,0.16
Get Product List for Compare,94,187,184,217,225,284,139,298,0.000%,.31207,0.25,0.09
To Add Product To Compare,94,558,544,635,668,794,446,973,0.000%,.31162,0.26,0.12
Get Compare List after adding Product,94,545,524,645,696,840,403,841,0.000%,.31159,0.39,0.10
To Remove Product from Compare List ,92,559,550,641,699,715,433,757,0.000%,.30800,0.25,0.11
Get Compare List after removing Product,92,225,188,291,566,604,157,624,0.000%,.30861,0.26,0.10
Product Description Page (PDP),92,300,296,341,370,412,239,507,0.000%,.30850,3.95,0.09
Get Product details with seller,92,299,294,350,361,394,226,399,0.000%,.30862,1.48,0.09
Add Product to WishList,92,1026,1016,1172,1284,1385,801,1452,0.000%,.30801,0.22,0.09
Notify Me (if product is out of stock),91,168,168,187,200,215,130,225,0.000%,.31167,0.24,0.15
Add To Cart,91,2297,2236,3064,5584,6186,736,7874,0.000%,.30921,0.32,0.18
Buy Now ,91,2305,2274,3219,5771,6475,729,6760,0.000%,.30878,0.32,0.18
Instabuy pop-up,90,995,1273,1434,1476,1864,139,1994,0.000%,.31344,0.80,0.10
Exchange Pop-up,90,326,320,368,381,412,245,887,0.000%,.31453,1.14,0.08
Remove Exchange,90,213,209,240,251,275,165,299,0.000%,.31466,0.25,0.12
Deactivate Exchange,90,218,213,254,273,299,168,304,0.000%,.31467,0.25,0.12
Place Order,90,2043,1792,2599,7779,8861,455,9470,0.000%,.31311,0.33,0.12
TOTAL,1844,727,373,1838,2397,5771,15,9470,0.000%,6.03409,21.08,2.37
