Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,112,112,112,112,112,112,112,0.000%,8.92857,6.92,2.29
OpenLogin ,1,1010,1010,1010,1010,1010,1010,1010,0.000%,.99010,1.70,0.35
TriggerOTP ,1,751,751,751,751,751,751,751,0.000%,1.33156,4.78,0.71
Product Listing Page (PLP),1,20,20,20,20,20,20,20,0.000%,50.00000,1336.18,27.78
Get Product List for Compare,1,109,109,109,109,109,109,109,0.000%,9.17431,7.33,2.74
To Add Product To Compare ,1,460,460,460,460,460,460,460,0.000%,2.17391,1.71,0.81
Get Compare List after adding Product,1,295,295,295,295,295,295,295,0.000%,3.38983,3.72,1.05
To Remove Product from Compare List,1,305,305,305,305,305,305,305,0.000%,3.27869,2.59,1.16
Product Description Page (PDP),1,46686,46686,46686,46686,46686,46686,46686,0.000%,.02142,0.22,0.01
Get Product details with seller,1,6504,6504,6504,6504,6504,6504,6504,0.000%,.15375,0.72,0.04
Add Product to WishList,1,3825,3825,3825,3825,3825,3825,3825,0.000%,.26144,0.18,0.08
Add To Cart,1,60774,60774,60774,60774,60774,60774,60774,0.000%,.01645,0.02,0.01
Buy Now ,1,56857,56857,56857,56857,56857,56857,56857,0.000%,.01759,0.02,0.01
Instabuy pop-up,1,4657,4657,4657,4657,4657,4657,4657,0.000%,.21473,0.80,0.07
Exchange Pop-up,1,10267,10267,10267,10267,10267,10267,10267,0.000%,.09740,0.35,0.02
Remove Exchange,1,327,327,327,327,327,327,327,0.000%,3.05810,2.37,1.12
Deactivate Exchange,1,973,973,973,973,973,973,973,0.000%,1.02775,0.80,0.38
Notify Me (if product is out of stock),1,106,106,106,106,106,106,106,0.000%,9.43396,7.25,4.35
Place Order,1,10813,10813,10813,10813,10813,10813,10813,0.000%,.09248,0.11,0.03
TOTAL,19,10781,973,46686,56857,60774,20,60774,0.000%,.09233,0.32,0.04
