Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,736,1621,1640,2203,2385,2739,178,4889,0.000%,.57015,0.44,0.15
OpenLogin ,735,5376,3526,15154,15625,16274,1147,20172,0.000%,.56760,0.94,0.20
TriggerOTP ,733,5606,5516,7435,7730,8450,358,10134,0.000%,.56784,3.14,0.30
Product Listing Page (PLP),732,20,18,25,30,49,14,248,0.000%,.56955,15.29,0.31
Get Product List for Compare,731,1804,1826,2401,2531,2943,94,4480,0.000%,.56810,0.45,0.17
To Add Product To Compare,727,3838,3927,4579,4769,5126,433,5962,0.000%,.56693,0.47,0.21
Get Compare List after adding Product,727,3832,3926,4631,4822,5240,297,7029,0.000%,.56557,0.75,0.17
To Remove Product from Compare List ,719,3823,3931,4494,4672,5243,269,8158,0.000%,.56034,0.45,0.20
Product Description Page (PDP),718,5263,5384,5951,6117,6547,501,8290,0.000%,.55971,7.39,0.15
Get Product details with seller,715,5302,5414,6004,6193,6609,455,7687,0.000%,.55820,2.13,0.16
Add Product to WishList,711,6102,6178,6873,7157,7683,681,9969,0.000%,.55579,0.39,0.16
Notify Me (if product is out of stock),709,1768,1763,2332,2490,2904,111,5646,0.000%,.55711,0.43,0.25
Add To Cart,707,5348,2018,21303,22468,23793,105,28890,0.000%,.55315,0.53,0.31
Buy Now ,705,5280,2030,20892,21622,22358,129,23804,0.000%,.55229,0.53,0.31
Instabuy pop-up,701,3527,2225,7908,8580,9643,151,10249,0.000%,.55124,0.86,0.16
Exchange Pop-up,696,2416,2434,3022,3180,3484,140,5539,0.000%,.54836,1.96,0.14
Remove Exchange,694,2004,2037,2496,2615,3021,117,5677,0.000%,.54810,0.42,0.20
Deactivate Exchange,694,2001,1971,2581,2746,3159,127,5551,0.000%,.54743,0.43,0.20
Place Order,692,3919,2021,4471,22155,26352,128,28502,0.000%,.54499,23.70,0.19
TOTAL,13582,3624,2591,6098,7101,21769,14,28890,0.000%,10.47295,59.82,3.89
