Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,119,119,119,119,119,119,119,0.00%,8.40336,6.5,2.16
OpenLogin ,1,4403,4403,4403,4403,4403,4403,4403,0.00%,0.22712,0.39,0.08
TriggerOTP ,1,395,395,395,395,395,395,395,0.00%,2.53165,36.01,1.34
Product Listing Page (PLP),1,24,24,24,24,24,24,24,0.00%,41.66667,1118.61,22.99
Get Product List for Compare,1,93,93,93,93,93,93,93,0.00%,10.75269,8.58,3.21
To Add Product To Compare ,1,275,275,275,275,275,275,275,0.00%,3.63636,2.86,1.35
Get Compare List after adding Product,1,260,260,260,260,260,260,260,0.00%,3.84615,4.16,1.19
To Remove Product from Compare List,1,277,277,277,277,277,277,277,0.00%,3.61011,2.85,1.27
Product Description Page (PDP),1,455,455,455,455,455,455,455,0.00%,2.1978,25.56,0.59
Get Product details with seller,1,450,450,450,450,450,450,450,0.00%,2.22222,9.67,0.63
Add Product to WishList,1,446,446,446,446,446,446,446,0.00%,2.24215,1.56,0.64
Add To Cart,1,5335,5335,5335,5335,5335,5335,5335,0.00%,0.18744,0.2,0.15
Buy Now ,1,5310,5310,5310,5310,5310,5310,5310,0.00%,0.18832,0.2,0.15
Instabuy pop-up,1,2850,2850,2850,2850,2850,2850,2850,0.00%,0.35088,1.9,0.11
Exchange Pop-up,1,148,148,148,148,148,148,148,0.00%,6.75676,24.16,1.67
Remove Exchange,1,107,107,107,107,107,107,107,0.00%,9.34579,7.23,3.41
Deactivate Exchange,1,116,116,116,116,116,116,116,0.00%,8.62069,6.7,3.16
Notify Me (if product is out of stock),1,87,87,87,87,87,87,87,0.00%,11.49425,8.82,5.25
Place Order,1,6045,6045,6045,6045,6045,6045,6045,0.00%,0.16543,0.19,0.06
TOTAL,19,1431,277,5310,5335,6045,24,6045,0.00%,0.67529,2.78,0.27
