Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,801,1141,1109,1636,1749,2068,98,5177,0.000%,.62198,0.48,0.16
OpenLogin ,801,3239,3026,3999,4485,16237,1096,17305,0.000%,.62061,1.02,0.22
TriggerOTP ,796,5033,5313,6696,6875,7276,499,9987,0.000%,.61765,2.43,0.33
Product Listing Page (PLP),793,23,21,27,30,49,19,386,0.000%,.61753,17.84,0.33
Get Product List for Compare,791,1297,1271,1771,1943,2236,94,7712,0.000%,.61677,0.49,0.18
To Add Product To Compare,789,3469,3557,4049,4203,4463,291,6667,0.000%,.61524,0.51,0.23
Get Compare List after adding Product,787,3415,3569,4148,4343,4713,320,5786,0.000%,.61434,0.81,0.19
To Remove Product from Compare List ,784,3452,3500,4013,4187,4778,299,8700,0.000%,.61285,0.50,0.22
Product Description Page (PDP),782,5161,5258,5757,5903,6317,550,9012,0.000%,.61201,16.06,0.17
Get Product details with seller,776,5167,5249,5788,5967,6310,543,9030,0.000%,.60836,2.92,0.17
Add Product to WishList,774,6233,6260,6951,7238,7752,583,10073,0.000%,.60764,0.42,0.17
Notify Me (if product is out of stock),767,1274,1250,1744,1868,2121,94,3778,0.000%,.60454,0.46,0.27
Add To Cart,765,2047,1371,5514,6053,20506,106,25494,0.000%,.60389,0.57,0.34
Buy Now ,764,2100,1425,5611,6149,11957,108,25215,0.000%,.60233,0.57,0.34
Instabuy pop-up,761,1760,1416,3520,3862,6202,110,8013,0.000%,.60185,0.42,0.17
Exchange Pop-up,759,1998,1950,2441,2628,3049,156,8060,0.000%,.60102,2.15,0.15
Remove Exchange,755,1475,1464,1937,2058,2389,133,4304,0.000%,.59880,0.46,0.22
Deactivate Exchange,754,1498,1462,1927,2117,2324,125,7200,0.000%,.59901,0.47,0.22
Place Order,753,2216,1474,3702,3939,25985,146,29185,0.000%,.59947,0.49,0.21
TOTAL,14752,2744,1915,5611,6176,7042,19,29185,0.000%,11.39920,48.51,4.23
