Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,97,97,97,97,97,97,97,0.000%,10.30928,10.13,2.67
OpenLogin ,1,1078,1078,1078,1078,1078,1078,1078,0.000%,.92764,1.54,0.49
TriggerOTP,1,467,467,467,467,467,467,467,0.000%,2.14133,7.80,1.52
Product Listing Page (PLP),1,24,24,24,24,24,24,24,0.000%,41.66667,1337.04,21.12
Get Product List for Compare,1,140,140,140,140,140,140,140,0.000%,7.14286,5.81,2.17
To Add Product To Compare ,3,518,433,715,715,715,406,715,0.000%,1.24481,1.18,0.47
Get Compare List after adding Product,3,446,472,498,498,498,368,498,0.000%,1.19904,1.87,0.38
To Remove Product from Compare List,3,410,406,420,420,420,404,420,0.000%,2.42326,2.10,0.88
Product Description Page (PDP),1,240,240,240,240,240,240,240,0.000%,4.16667,25.96,1.15
Get Product details with seller,1,261,261,261,261,261,261,261,0.000%,3.83142,18.42,1.11
Add Product to WishList,1,918,918,918,918,918,918,918,0.000%,1.08932,0.78,0.32
Add To Cart,1,1445,1445,1445,1445,1445,1445,1445,0.000%,.69204,0.68,0.40
Buy Now ,1,1407,1407,1407,1407,1407,1407,1407,0.000%,.71073,0.69,0.41
Instabuy pop-up,1,1262,1262,1262,1262,1262,1262,1262,0.000%,.79239,2.57,0.24
Exchange Pop-up,1,405,405,405,405,405,405,405,0.000%,2.46914,8.95,0.62
Remove Exchange,1,174,174,174,174,174,174,174,0.000%,5.74713,4.53,2.13
Deactivate Exchange,1,176,176,176,176,176,176,176,0.000%,5.68182,4.51,2.11
Notify Me (if product is out of stock),1,150,150,150,150,150,150,150,0.000%,6.66667,5.22,3.09
Place Order,1,2292,2292,2292,2292,2292,2292,2292,0.000%,.43630,0.43,0.16
TOTAL,25,586,406,1262,1445,2292,24,2292,0.000%,1.70033,4.98,0.66
