Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,24,177,167,239,272,332,116,332,0.000%,.09062,0.07,0.02
OpenLogin ,24,1616,1552,2237,2335,2801,1013,2801,0.000%,.08992,0.15,0.03
TriggerOTP ,24,1116,895,2065,2124,2662,454,2662,0.000%,.09017,0.33,0.05
Product Listing Page (PLP),24,21,20,23,25,69,17,69,0.000%,.09046,2.87,0.05
Get Product List for Compare,24,135,127,169,182,187,106,187,0.000%,.09043,0.07,0.03
To Add Product To Compare,24,566,451,871,945,1831,322,1831,0.000%,.09023,0.08,0.03
Get Compare List after adding Product,24,452,386,604,636,789,286,789,0.000%,.09026,0.12,0.03
To Remove Product from Compare List ,24,471,429,717,734,863,315,863,0.000%,.09026,0.07,0.03
Product Description Page (PDP),24,8130,7741,9504,11124,12693,5231,12693,0.000%,.08732,0.81,0.02
Get Product details with seller,24,6929,6806,9005,9078,11330,4846,11330,0.000%,.08603,0.31,0.02
Add Product to WishList,24,968,765,1491,1497,2531,485,2531,0.000%,.08796,0.06,0.03
Notify Me (if product is out of stock),24,155,124,229,234,340,99,340,0.000%,.08816,0.07,0.04
Add To Cart,24,61563,71417,84377,85012,90526,740,90526,0.000%,.06987,0.07,0.04
Buy Now ,16,61710,79289,85300,85955,88666,736,88666,0.000%,.04432,0.05,0.03
Instabuy pop-up,14,9267,11896,20193,20193,20635,114,20635,14.286%,.05768,0.15,0.02
Exchange Pop-up,14,210,187,274,274,293,164,293,0.000%,.05768,0.21,0.01
Remove Exchange,14,225,139,207,207,1222,126,1222,0.000%,.05772,0.04,0.02
Deactivate Exchange,14,387,181,632,632,1918,132,1918,0.000%,.05771,0.04,0.02
Place Order,14,20224,24349,35047,35047,38453,302,38453,0.000%,.05767,29.01,0.02
TOTAL,398,8510,558,20635,72334,85251,17,90526,0.503%,1.04402,22.38,0.39
