Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,75,329,323,460,500,587,139,587,0.000%,.24699,0.19,0.06
OpenLogin ,75,1638,1524,1996,2655,3741,1053,3772,0.000%,.24624,0.42,0.09
TriggerOTP ,75,1338,1191,1870,2141,2981,600,3321,0.000%,.24708,0.89,0.13
Product Listing Page (PLP),74,76,19,391,402,414,15,421,0.000%,.24844,8.15,0.14
Get Product List for Compare,74,386,363,546,602,785,151,812,0.000%,.24834,0.20,0.07
To Add Product To Compare,74,989,927,1449,1588,1748,324,1833,0.000%,.24779,0.20,0.09
Get Compare List after adding Product,74,972,925,1438,1666,2046,336,2168,0.000%,.24753,0.30,0.08
To Remove Product from Compare List ,74,984,924,1506,1572,1797,401,1870,0.000%,.24780,0.20,0.09
Get Compare List after removing Product,74,406,397,630,669,796,126,878,0.000%,.24898,0.20,0.08
Product Description Page (PDP),74,525,484,727,831,936,279,1002,0.000%,.24916,2.85,0.07
Get Product details with seller,73,529,506,741,776,871,269,938,0.000%,.24818,1.09,0.07
Add Product to WishList,73,1464,1367,1925,2332,2727,547,2852,0.000%,.24795,0.17,0.07
Notify Me (if product is out of stock),73,333,322,455,488,605,114,615,0.000%,.24919,0.19,0.11
Add To Cart,73,2511,2580,4301,4617,5786,799,5935,0.000%,.24608,0.24,0.14
Buy Now ,71,2708,2505,4898,5509,6242,750,6348,0.000%,.24652,0.24,0.14
Instabuy pop-up,71,1406,1347,2731,3216,5457,168,5594,0.000%,.24686,0.48,0.08
Exchange Pop-up,70,611,558,909,1121,1201,219,1232,0.000%,.24925,0.89,0.06
Remove Exchange,70,429,411,620,728,874,126,935,0.000%,.24995,0.19,0.09
Deactivate Exchange,70,458,432,718,783,941,170,988,0.000%,.25038,0.19,0.09
Place Order,70,1968,1926,3683,4057,4675,589,4906,0.000%,.25060,0.24,0.09
TOTAL,1457,1000,653,2021,3162,4865,15,6348,0.000%,4.71173,16.79,1.75
