Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,142,142,142,142,142,142,142,0.000%,7.04225,5.45,1.81
OpenLogin ,1,1373,1373,1373,1373,1373,1373,1373,0.000%,.72833,1.25,0.25
TriggerOTP ,1,488,488,488,488,488,488,488,0.000%,2.04918,7.41,1.09
Product Listing Page (PLP),1,25,25,25,25,25,25,25,0.000%,40.00000,1303.83,22.07
Get Product List for Compare,1,107,107,107,107,107,107,107,0.000%,9.34579,7.46,2.79
To Add Product To Compare ,1,323,323,323,323,323,323,323,0.000%,3.09598,2.43,1.14
Get Compare List after adding Product,1,300,300,300,300,300,300,300,0.000%,3.33333,3.64,1.03
To Remove Product from Compare List,1,318,318,318,318,318,318,318,0.000%,3.14465,2.48,1.09
Product Description Page (PDP),1,211,211,211,211,211,211,211,0.000%,4.73934,44.78,1.25
Get Product details with seller,1,204,204,204,204,204,204,204,0.000%,4.90196,18.97,1.35
Add Product to WishList,1,510,510,510,510,510,510,510,0.000%,1.96078,1.37,0.56
Add To Cart,1,3026,3026,3026,3026,3026,3026,3026,0.000%,.33047,0.35,0.27
Buy Now ,1,3699,3699,3699,3699,3699,3699,3699,0.000%,.27034,0.28,0.22
Instabuy pop-up,1,1071,1071,1071,1071,1071,1071,1071,0.000%,.93371,3.39,0.28
Exchange Pop-up,1,177,177,177,177,177,177,177,0.000%,5.64972,20.20,1.40
Remove Exchange,1,120,120,120,120,120,120,120,0.000%,8.33333,6.45,3.04
Deactivate Exchange,1,129,129,129,129,129,129,129,0.000%,7.75194,6.03,2.84
Notify Me (if product is out of stock),1,104,104,104,104,104,104,104,0.000%,9.61538,7.38,4.34
Place Order,1,446,446,446,446,446,446,446,0.000%,2.24215,1.73,0.83
TOTAL,19,672,300,1373,3026,3699,25,3699,0.000%,1.38534,5.00,0.55
