Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,80,126,127,148,154,191,95,234,0.000%,.25886,0.20,0.07
TriggerOTP ,80,454,445,521,529,609,385,617,0.000%,.25860,0.19,0.09
OpenLogin ,79,3236,2971,5370,5583,5684,1126,6758,0.000%,.25685,17.18,0.12
Product Listing Page (PLP),78,20,19,25,26,27,17,52,0.000%,.26111,7.64,0.14
Get Product List for Compare,78,142,125,221,253,283,99,319,0.000%,.26090,0.21,0.08
To Add Product To Compare,78,418,394,559,601,691,286,770,0.000%,.26073,0.21,0.10
Get Compare List after adding Product,78,401,384,548,586,742,108,853,0.000%,.26061,0.31,0.08
To Remove Product from Compare List ,77,410,389,494,564,667,300,866,0.000%,.25791,0.20,0.09
Product Description Page (PDP),76,703,660,881,993,1080,514,1890,0.000%,.25784,6.24,0.07
Get Product details with seller,76,700,654,906,990,1078,508,1114,0.000%,.25784,1.23,0.07
Add Product to WishList,76,802,770,999,1105,1307,574,1329,0.000%,.25788,0.18,0.08
Add To Cart,75,4590,4409,6811,6965,7290,1764,7983,0.000%,.26001,0.28,0.21
Buy Now ,75,4557,4468,6610,6747,7217,2218,7601,0.000%,.25804,0.28,0.15
Instabuy pop-up,73,2604,2967,3330,3426,3474,101,4245,5.479%,.25706,1.06,0.08
Exchange Pop-up,72,223,204,290,344,480,151,482,0.000%,.26155,0.94,0.06
Remove Exchange,72,156,146,200,215,274,115,395,0.000%,.26139,0.20,0.09
Deactivate Exchange,72,174,149,255,302,335,114,488,0.000%,.26139,0.20,0.09
Notify Me (if product is out of stock),72,134,122,206,237,292,92,317,0.000%,.26141,0.20,0.12
Place Order,72,1938,1480,3640,7635,7804,100,8058,0.000%,.25840,7.87,0.09
TOTAL,1439,1142,419,3640,4826,6832,17,8058,0.278%,4.58871,42.41,1.77
