Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,95,95,95,95,95,95,95,0.000%,10.52632,10.33,2.72
OpenLogin ,1,892,892,892,892,892,892,892,0.000%,1.12108,1.96,0.59
TriggerOTP,1,490,490,490,490,490,490,490,0.000%,2.04082,7.45,1.45
Product Listing Page (PLP),1,23,23,23,23,23,23,23,0.000%,43.47826,1128.14,22.04
Get Product List for Compare,1,141,141,141,141,141,141,141,0.000%,7.09220,5.76,2.15
To Add Product To Compare ,3,396,395,403,403,403,390,403,0.000%,1.46628,1.39,0.56
Get Compare List after adding Product,3,408,420,450,450,450,355,450,0.000%,1.42789,2.24,0.45
To Remove Product from Compare List,3,390,393,394,394,394,385,394,0.000%,2.47321,2.14,0.90
Product Description Page (PDP),1,243,243,243,243,243,243,243,0.000%,4.11523,27.88,1.14
Get Product details with seller,1,220,220,220,220,220,220,220,0.000%,4.54545,24.19,1.32
Add Product to WishList,1,791,791,791,791,791,791,791,0.000%,1.26422,0.90,0.37
Add To Cart,1,1869,1869,1869,1869,1869,1869,1869,0.000%,.53505,0.57,0.31
Buy Now ,1,1942,1942,1942,1942,1942,1942,1942,0.000%,.51493,0.55,0.30
Instabuy pop-up,1,1107,1107,1107,1107,1107,1107,1107,0.000%,.90334,3.10,0.28
Exchange Pop-up,1,229,229,229,229,229,229,229,0.000%,4.36681,15.82,1.10
Remove Exchange,1,151,151,151,151,151,151,151,0.000%,6.62252,5.22,2.45
Deactivate Exchange,1,157,157,157,157,157,157,157,0.000%,6.36943,5.04,2.36
Notify Me (if product is out of stock),1,129,129,129,129,129,129,129,0.000%,7.75194,6.06,3.60
Place Order,1,1315,1315,1315,1315,1315,1315,1315,0.000%,.76046,0.89,0.29
TOTAL,25,535,393,1107,1869,1942,23,1942,0.000%,1.84067,5.07,0.71
