Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,256,62,51,79,106,208,34,726,0.000%,.42230,0.41,0.11
OpenLogin ,256,4700,3486,5222,18701,19678,1238,20686,0.000%,.41675,0.73,0.22
TriggerOTP,255,4383,4229,5535,5806,6397,766,8982,0.784%,.41692,1.71,0.30
Product Listing Page (PLP),250,19,18,23,27,49,14,53,0.000%,.41084,10.66,0.21
Get Product List for Compare,250,1453,1398,1793,1889,2378,355,2417,0.000%,.40996,0.33,0.12
To Add Product To Compare,249,4311,4350,4662,4810,5029,2029,5108,2.008%,.40792,0.34,0.16
Get Compare List after adding Product,248,4378,4316,4995,5170,5630,3213,5791,0.000%,.41002,0.55,0.13
To Remove Product from Compare List ,248,4352,4332,4669,4888,5265,3250,5486,5.242%,.40999,0.33,0.15
Get Compare List after removing Product,247,1521,1448,1856,2011,2179,1145,2316,0.000%,.41169,0.34,0.13
Product Description Page (PDP),246,2023,1960,2427,2617,3002,1543,3284,0.000%,.41203,6.92,0.11
Get Product details with seller,246,1999,1975,2327,2415,2679,1464,3002,0.000%,.41203,2.22,0.12
Add Product to WishList,244,7241,7289,7889,7996,8325,1202,8401,0.820%,.40864,0.29,0.12
Notify Me (if product is out of stock),240,1374,1319,1623,1735,2017,1100,2163,0.000%,.41189,0.32,0.19
Add To Cart,240,9517,10296,11867,26618,28276,1689,28430,1.667%,.40768,0.44,0.24
Buy Now ,238,9196,9912,11756,26197,26966,1579,29371,0.420%,.40975,0.42,0.24
Instabuy pop-up,232,4955,6087,6912,7034,7911,1164,8723,5.603%,.40673,1.07,0.13
Exchange Pop-up,231,2485,2439,2795,2848,3313,1998,4058,0.000%,.40875,1.48,0.10
Remove Exchange,231,1656,1592,1947,2048,2407,1314,2527,0.000%,.40945,0.32,0.15
Deactivate Exchange,230,1646,1585,1950,2084,2482,1257,2733,0.000%,.40949,0.32,0.15
Place Order,230,7248,7940,10918,17027,33989,1249,34471,0.000%,.40707,14.17,0.15
TOTAL,4867,3704,2460,7891,10334,18666,14,34471,0.822%,7.86885,41.26,3.09
