Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,157,1975,1982,2695,2829,3161,345,3308,0.000%,.25778,0.20,0.07
OpenLogin ,157,5479,5555,6513,6890,8214,1209,8811,0.000%,.25589,0.44,0.09
TriggerOTP ,155,8955,7887,12227,12755,13568,1568,14030,0.000%,.25503,0.91,0.14
Product Listing Page (PLP),155,19,17,21,23,33,14,136,0.000%,.25568,8.38,0.14
Get Product List for Compare,155,2562,2448,3195,3424,3794,691,3907,0.000%,.25472,0.20,0.08
To Add Product To Compare,153,7735,7673,8364,8557,9193,5881,9476,0.000%,.25079,0.20,0.09
Get Compare List after adding Product,150,7773,7977,8645,8962,9665,2256,9702,0.000%,.24797,0.33,0.08
To Remove Product from Compare List ,149,7731,7627,8356,8432,8915,6522,9384,0.000%,.25524,0.20,0.09
Get Compare List after removing Product,149,2734,2533,3477,3923,4464,2120,4620,0.000%,.25751,0.21,0.08
Product Description Page (PDP),149,3454,3259,4227,4457,4941,2490,5119,0.000%,.25727,2.78,0.07
Get Product details with seller,149,3377,3201,4059,4328,4860,2833,4897,0.000%,.25728,1.02,0.07
Add Product to WishList,149,11678,11606,12508,12926,13416,6391,13710,0.000%,.25578,0.18,0.07
Notify Me (if product is out of stock),147,2463,2310,3152,3473,3993,1773,4114,0.000%,.26378,0.20,0.12
Add To Cart,147,14893,16125,19203,20142,29042,4919,31194,0.000%,.25841,0.26,0.15
Buy Now ,142,14479,16618,18887,19339,20557,4157,21001,0.000%,.25626,0.26,0.15
Instabuy pop-up,134,9833,10320,13028,13352,14574,2129,15182,3.731%,.24798,0.54,0.08
Exchange Pop-up,131,4015,3942,4679,4899,5445,2899,5446,0.000%,.24426,0.87,0.06
Remove Exchange,130,2978,2852,3634,3846,4456,2408,4701,0.000%,.24744,0.19,0.09
Deactivate Exchange,130,2930,2859,3575,3690,4216,2185,4252,0.000%,.24775,0.19,0.09
Place Order,130,10112,7706,14659,17668,43042,2177,45319,0.000%,.24726,9.32,0.09
TOTAL,2918,6223,4456,12621,16690,19339,14,45319,0.171%,4.72080,24.73,1.75
