Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,297,297,297,297,297,297,297,0.000%,3.36700,2.61,0.86
Send OTP ,1,463,463,463,463,463,463,463,0.000%,2.15983,1.60,0.73
OpenLogin,1,4141,4141,4141,4141,4141,4141,4141,0.000%,.24149,3.56,0.11
Product Listing Page (PLP),1,331,331,331,331,331,331,331,0.000%,3.02115,103.24,1.67
Get Product List for Compare,1,188,188,188,188,188,188,188,0.000%,5.31915,4.25,1.59
To Add Product To Compare,1,678,678,678,678,678,678,678,0.000%,1.47493,1.16,0.55
Get Compare List after adding Product,1,474,474,474,474,474,474,474,0.000%,2.10970,2.30,0.65
To Remove Product from Compare List ,1,526,526,526,526,526,526,526,0.000%,1.90114,1.50,0.68
Product Description Page (PDP),1,762,762,762,762,762,762,762,0.000%,1.31234,27.91,0.36
Get Product details with seller,1,766,766,766,766,766,766,766,0.000%,1.30548,24.38,0.37
Add Product to WishList,1,1122,1122,1122,1122,1122,1122,1122,0.000%,.89127,0.62,0.28
Add To Cart,1,5151,5151,5151,5151,5151,5151,5151,0.000%,.19414,0.21,0.16
Buy Now ,1,4944,4944,4944,4944,4944,4944,4944,0.000%,.20227,0.22,0.12
Instabuy pop-up,1,1141,1141,1141,1141,1141,1141,1141,0.000%,.87642,4.71,0.27
Exchange Pop-up,1,354,354,354,354,354,354,354,0.000%,2.82486,10.12,0.70
Remove Exchange,1,175,175,175,175,175,175,175,0.000%,5.71429,4.43,2.05
Deactivate Exchange,1,186,186,186,186,186,186,186,0.000%,5.37634,4.18,1.93
Notify Me (if product is out of stock) ,1,193,193,193,193,193,193,193,0.000%,5.18135,3.98,2.37
Place Order,1,6205,6205,6205,6205,6205,6205,6205,0.000%,.16116,0.19,0.06
TOTAL,19,1478,526,4944,5151,6205,175,6205,0.000%,.67426,3.87,0.26
