Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,305,305,305,305,305,305,305,0.000%,3.27869,2.54,0.84
Send OTP ,1,476,476,476,476,476,476,476,0.000%,2.10084,1.56,0.71
OpenLogin,1,4418,4418,4418,4418,4418,4418,4418,0.000%,.22635,3.31,0.10
Product Listing Page (PLP),1,31,31,31,31,31,31,31,0.000%,32.25806,1102.32,17.80
Get Product List for Compare,1,181,181,181,181,181,181,181,0.000%,5.52486,4.41,1.65
To Add Product To Compare,1,584,584,584,584,584,584,584,0.000%,1.71233,1.35,0.65
Get Compare List after adding Product,1,488,488,488,488,488,488,488,0.000%,2.04918,2.23,0.63
To Remove Product from Compare List ,1,471,471,471,471,471,471,471,0.000%,2.12314,1.68,0.76
Product Description Page (PDP),1,806,806,806,806,806,806,806,0.000%,1.24069,18.39,0.34
Get Product details with seller,1,732,732,732,732,732,732,732,0.000%,1.36612,18.79,0.39
Add Product to WishList,1,960,960,960,960,960,960,960,0.000%,1.04167,0.73,0.33
Add To Cart,1,5143,5143,5143,5143,5143,5143,5143,0.000%,.19444,0.21,0.16
Buy Now ,1,4901,4901,4901,4901,4901,4901,4901,0.000%,.20404,0.22,0.12
Instabuy pop-up,1,1337,1337,1337,1337,1337,1337,1337,0.000%,.74794,3.70,0.23
Exchange Pop-up,1,252,252,252,252,252,252,252,0.000%,3.96825,14.19,0.98
Remove Exchange,1,208,208,208,208,208,208,208,0.000%,4.80769,3.72,1.72
Deactivate Exchange,1,181,181,181,181,181,181,181,0.000%,5.52486,4.29,1.99
Notify Me (if product is out of stock) ,1,154,154,154,154,154,154,154,0.000%,6.49351,4.98,2.98
Place Order,1,6641,6641,6641,6641,6641,6641,6641,0.000%,.15058,0.18,0.06
TOTAL,19,1487,488,4901,5143,6641,31,6641,0.000%,.66949,3.43,0.26
