Login Ui Page,541,780,795,924,961,1099,174,4812,0.000%,.42175,0.33,0.11
Send OTP ,541,1652,1326,1632,4516,9363,449,17756,0.000%,.42130,0.31,0.14
OpenLogin ,541,6996,4483,17849,18786,21467,1144,22051,0.000%,.41474,10.42,0.19
Product Listing Page (PLP),540,14,13,16,21,45,10,209,0.000%,.42743,14.61,0.24
Get Product List for Compare,540,967,993,1169,1231,1395,144,2174,0.000%,.42708,0.34,0.13
To Add Product To Compare,540,6576,3648,24018,25414,26481,492,28261,0.000%,.42508,0.35,0.16
Get Compare List after adding Product,540,4634,3651,4523,18708,26265,519,26823,0.000%,.41779,0.58,0.13
To Remove Product from Compare List ,539,4490,3563,4243,7693,25182,670,26933,0.000%,.41609,0.33,0.15
Product Description Page (PDP),534,6763,5603,6805,23849,27768,932,29378,0.000%,.41218,37.53,0.11
Get Product details with seller,528,6815,5556,6595,24946,28101,870,28786,0.000%,.40822,5.99,0.12
Add Product to WishList,523,8361,7099,8693,26903,30048,1250,31159,0.000%,.40480,0.28,0.13
Add To Cart,518,17957,13130,33015,36860,53385,2805,67639,0.386%,.40101,0.43,0.33
Buy Now ,511,16946,11964,31990,38627,48255,2638,65253,0.000%,.39722,0.43,0.23
Instabuy pop-up,509,7663,6095,8885,25806,28995,744,30125,3.143%,.39714,1.64,0.12
Exchange Pop-up,504,1681,1687,1946,2026,2264,273,5604,0.000%,.40042,1.43,0.10
Remove Exchange,504,1124,1131,1304,1369,1454,171,1650,0.000%,.40018,0.31,0.14
Deactivate Exchange,503,1132,1136,1324,1368,1476,219,1707,0.000%,.39980,0.31,0.14
Notify Me (if product is out of stock),501,888,889,1018,1077,1203,162,1403,0.000%,.39870,0.31,0.18
Place Order,500,7014,1346,26375,30658,33637,320,36242,0.000%,.39188,70.72,0.13
TOTAL,9957,5371,3396,12497,24604,33550,10,67639,0.181%,7.59818,143.50,2.91
