Login Ui Page,275,2276,2322,2666,2773,3040,435,8949,0.000%,.21342,0.17,0.05
Send OTP ,275,3334,3360,3917,4058,7682,743,10451,0.000%,.21299,0.16,0.07
OpenLogin ,273,17522,13521,47494,49943,52671,1655,56221,0.000%,.20991,19.71,0.09
Product Listing Page (PLP),268,14,12,20,28,38,9,81,0.000%,.20893,6.90,0.12
Get Product List for Compare,268,2709,2741,3257,3432,3574,199,10000,0.000%,.20851,0.17,0.06
To Add Product To Compare,264,9914,10180,11794,12296,12888,918,18585,0.000%,.20474,0.17,0.08
Get Compare List after adding Product,256,10191,10221,12019,13064,16722,743,19190,0.000%,.19880,0.27,0.06
To Remove Product from Compare List ,254,10154,10244,12214,12524,14930,1793,18074,0.000%,.19759,0.16,0.07
Product Description Page (PDP),250,16461,16742,19161,19914,20825,3423,25044,0.000%,.19631,19.17,0.05
Get Product details with seller,250,17122,17410,19680,20087,24887,7746,28281,0.000%,.19531,3.92,0.06
Add Product to WishList,248,21414,21580,24835,25644,27642,10155,30561,0.000%,.19527,0.14,0.06
Add To Cart,244,37948,34322,65500,70669,75764,14760,78278,0.410%,.19244,0.20,0.16
Buy Now ,235,37418,32409,66354,71676,74713,23239,77679,0.000%,.18898,0.20,0.11
Instabuy pop-up,227,15953,16424,20150,20610,23002,6,24208,6.608%,.19276,0.87,0.06
Exchange Pop-up,227,5279,5186,5854,6036,10130,3759,11675,0.000%,.19425,0.69,0.05
Remove Exchange,227,3660,3545,3974,4218,9950,2662,11166,0.000%,.19449,0.15,0.07
Deactivate Exchange,227,3558,3548,3985,4092,4400,2455,8813,0.000%,.19457,0.15,0.07
Notify Me (if product is out of stock),227,2852,2756,3108,3246,8685,1986,9675,0.000%,.19477,0.15,0.09
Place Order,227,20387,21085,34876,37405,88339,2458,94724,0.000%,.19352,32.12,0.07
TOTAL,4722,12358,9732,29576,34976,67495,6,94724,0.339%,3.61078,81.08,1.38
