Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,581,3242,3379,4053,4260,4775,227,5613,0.000%,.44934,0.35,0.12
OpenLogin ,577,5030,5085,5852,6124,7253,1420,23212,0.520%,.44583,0.77,0.16
TriggerOTP ,574,9218,9415,11189,11455,23311,1081,27714,1.220%,.44372,1.60,0.24
Product Listing Page (PLP),569,20,18,25,28,40,15,230,0.000%,.44303,11.66,0.25
Get Product List for Compare,569,3450,3594,4282,4461,4885,299,5740,0.000%,.44174,0.35,0.13
To Add Product To Compare,568,5386,5486,6206,6387,6781,999,19740,0.000%,.44052,0.37,0.17
Get Compare List after adding Product,566,5303,5468,6166,6442,6874,1314,20986,0.000%,.44201,0.56,0.14
To Remove Product from Compare List ,566,5490,5621,6323,6534,6826,1177,19598,0.000%,.44071,0.36,0.16
Product Description Page (PDP),565,6773,6908,7671,7929,8402,1746,20433,0.000%,.43862,5.15,0.12
Get Product details with seller,562,6833,6954,7709,7894,8268,1769,20341,0.000%,.43843,1.22,0.13
Add Product to WishList,561,7526,7676,8393,8617,9135,1592,21851,1.248%,.43670,0.30,0.13
Notify Me (if product is out of stock),554,3552,3504,4147,4335,4918,213,19117,0.000%,.43372,0.33,0.20
Add To Cart,553,11256,12643,14305,14720,16195,1577,29061,0.542%,.43081,0.44,0.25
Buy Now ,547,10753,11970,13339,13758,25811,1042,27610,0.731%,.42694,0.45,0.25
Instabuy pop-up,544,6761,7153,8651,9067,17464,229,21369,4.963%,.42680,1.23,0.13
Exchange Pop-up,542,4149,4214,4880,5091,5496,379,6214,0.000%,.42445,1.52,0.10
Remove Exchange,540,3780,3759,4427,4685,5045,299,18510,0.000%,.42355,0.33,0.15
Deactivate Exchange,537,3742,3756,4440,4645,5170,423,17648,0.000%,.42207,0.33,0.15
Place Order,537,9603,5581,29806,30884,32966,597,45878,0.559%,.41978,53.13,0.15
TOTAL,10612,5872,5261,9841,12816,23414,15,45878,0.509%,8.17835,79.41,3.06
