Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,498,2161,2180,3212,3503,4093,104,5009,0.000%,.38633,0.30,0.10
OpenLogin ,498,7440,5898,15282,15882,16559,2809,17453,0.402%,.38393,0.68,0.13
TriggerOTP ,494,6529,6786,8742,9235,10611,458,12304,1.822%,.38307,19.96,0.20
Product Listing Page (PLP),487,22,21,27,29,40,18,54,0.000%,.38014,11.24,0.21
Get Product List for Compare,486,2333,2335,3346,3708,4313,101,4663,0.000%,.37852,0.30,0.11
To Add Product To Compare,484,4239,4370,5286,5452,5800,288,6239,0.000%,.37715,0.31,0.14
Get Compare List after adding Product,482,3654,3903,5080,5401,5843,311,6156,0.000%,.37666,0.42,0.12
To Remove Product from Compare List ,477,4251,4358,5278,5540,6158,290,6646,0.000%,.37281,0.30,0.13
Product Description Page (PDP),473,5712,5892,6714,6906,7404,549,8713,0.000%,.37013,8.78,0.10
Get Product details with seller,470,5743,5889,6803,7032,7374,648,7843,0.000%,.36860,1.76,0.11
Add Product to WishList,469,6415,6591,7429,7708,8046,591,9780,0.000%,.36884,0.26,0.11
Notify Me (if product is out of stock),466,2561,2578,3597,3883,4254,193,4856,0.000%,.36683,0.28,0.17
Add To Cart,465,12748,12733,17465,18357,19807,3907,23593,0.000%,.36573,0.35,0.21
Buy Now ,461,13722,13620,18836,19566,20597,3808,23245,0.000%,.36358,0.38,0.21
Instabuy pop-up,458,7181,7690,8963,9434,10424,978,11410,9.607%,.36335,1.38,0.11
Exchange Pop-up,455,3157,3037,4181,4418,4929,519,5452,0.000%,.36290,1.30,0.09
Remove Exchange,454,2674,2591,3750,3932,4429,369,5216,0.000%,.36351,0.28,0.13
Deactivate Exchange,453,2692,2633,3722,4055,4738,288,5197,0.000%,.36471,0.28,0.13
Place Order,453,12080,8997,25476,26402,28048,1427,30765,0.000%,.36095,48.60,0.13
TOTAL,8983,5508,4471,11449,14683,23994,18,30765,0.612%,6.89988,94.66,2.59
