Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,80,275,269,359,411,418,126,429,0.000%,.26177,0.20,0.07
OpenLogin ,79,1423,1373,1770,1814,1980,1019,2139,0.000%,.26173,0.45,0.09
TriggerOTP ,79,1202,1108,1509,1728,2406,757,2604,0.000%,.26227,0.94,0.14
Product Listing Page (PLP),79,19,18,22,26,26,15,36,0.000%,.26342,8.64,0.15
Get Product List for Compare,79,303,293,408,442,510,140,585,0.000%,.26314,0.21,0.08
To Add Product To Compare,79,970,958,1298,1440,1743,525,1766,0.000%,.26255,0.21,0.10
Get Compare List after adding Product,79,929,883,1284,1383,1516,389,1873,0.000%,.26290,0.31,0.08
To Remove Product from Compare List ,78,939,902,1266,1391,1579,412,1747,0.000%,.26071,0.21,0.09
Get Compare List after removing Product,77,339,311,445,471,1121,159,1177,0.000%,.26552,0.22,0.08
Product Description Page (PDP),77,491,482,637,679,733,264,825,0.000%,.26528,2.61,0.07
Get Product details with seller,77,493,474,618,680,872,278,919,0.000%,.26549,1.07,0.07
Add Product to WishList,77,1513,1496,1890,1990,2176,833,2506,0.000%,.26499,0.18,0.08
Notify Me (if product is out of stock),77,283,272,382,417,536,112,537,0.000%,.26646,0.20,0.12
Add To Cart,77,2987,3239,4856,5491,5663,881,10232,0.000%,.26302,0.26,0.15
Buy Now ,76,2901,3298,4564,4796,5837,847,6660,0.000%,.26200,0.26,0.15
Instabuy pop-up,75,1205,892,2238,2370,2485,201,2690,0.000%,.26360,0.39,0.08
Exchange Pop-up,75,492,482,624,722,802,254,917,0.000%,.26464,0.95,0.07
Remove Exchange,75,354,339,466,484,597,214,646,0.000%,.26452,0.20,0.10
Deactivate Exchange,75,363,357,485,533,670,162,883,0.000%,.26439,0.21,0.10
Place Order,75,1333,1087,2459,2768,3130,357,3385,0.000%,.26371,0.23,0.10
TOTAL,1545,938,606,1826,3248,4707,15,10232,0.000%,5.04760,17.35,1.87
