Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,136,136,136,136,136,136,136,0.000%,7.35294,5.69,1.89
OpenLogin ,1,1496,1496,1496,1496,1496,1496,1496,0.000%,.66845,1.15,0.23
TriggerOTP ,1,947,947,947,947,947,947,947,0.000%,1.05597,3.82,0.56
Product Listing Page (PLP),1,31,31,31,31,31,31,31,0.000%,32.25806,1057.71,17.80
Get Product List for Compare,1,124,124,124,124,124,124,124,0.000%,8.06452,6.43,2.41
To Add Product To Compare ,1,725,725,725,725,725,725,725,0.000%,1.37931,1.08,0.51
Get Compare List after adding Product,1,315,315,315,315,315,315,315,0.000%,3.17460,3.42,0.98
To Remove Product from Compare List,1,328,328,328,328,328,328,328,0.000%,3.04878,2.41,1.06
Product Description Page (PDP),1,241,241,241,241,241,241,241,0.000%,4.14938,41.40,1.10
Get Product details with seller,1,246,246,246,246,246,246,246,0.000%,4.06504,17.88,1.12
Add Product to WishList,1,1958,1958,1958,1958,1958,1958,1958,0.000%,.51073,0.36,0.15
Add To Cart,1,17390,17390,17390,17390,17390,17390,17390,0.000%,.05750,0.06,0.05
Buy Now ,1,8555,8555,8555,8555,8555,8555,8555,0.000%,.11689,0.12,0.09
Instabuy pop-up,1,437,437,437,437,437,437,437,0.000%,2.28833,1.46,0.69
Exchange Pop-up,1,175,175,175,175,175,175,175,0.000%,5.71429,20.43,1.41
Remove Exchange,1,158,158,158,158,158,158,158,0.000%,6.32911,4.90,2.31
Deactivate Exchange,1,181,181,181,181,181,181,181,0.000%,5.52486,4.29,2.02
Notify Me (if product is out of stock),1,189,189,189,189,189,189,189,0.000%,5.29101,4.06,2.39
Place Order,1,355,355,355,355,355,355,355,0.000%,2.81690,2.23,1.05
TOTAL,19,1788,315,1958,8555,17390,31,17390,0.000%,.54421,1.91,0.22
