Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,342,292,256,445,518,666,137,1582,0.000%,.56000,0.43,0.14
Send OTP ,342,636,597,853,898,1129,406,1327,0.000%,.55972,0.41,0.19
OpenLogin,340,11584,11392,12442,13038,13724,10716,13866,0.000%,.54780,3.52,0.25
Product Listing Page (PLP),333,14,14,17,18,22,12,120,0.000%,.57980,18.38,0.32
Get Product List for Compare,333,457,444,692,795,948,169,1039,0.000%,.57909,0.46,0.20
To Add Product To Compare,333,1442,1389,2348,2555,2976,264,3041,0.000%,.57746,0.46,0.24
Get Compare List after adding Product,333,1562,1477,2427,2750,3192,347,3415,0.000%,.57642,0.81,0.21
To Remove Product from Compare List ,333,1147,1039,2018,2391,2739,217,3030,0.000%,.57596,0.46,0.23
Product Description Page (PDP),333,2387,2258,3705,4075,4558,990,4687,0.000%,.57313,62.01,0.17
Get Product details with seller,333,2167,2080,3269,3549,4130,925,4533,0.000%,.57227,3.30,0.17
Add Product to WishList,333,3497,3385,4977,5603,6580,1446,6846,0.000%,.57100,0.40,0.18
Add To Cart,333,13446,13491,15468,15892,16659,10843,16999,0.000%,.56465,0.54,0.48
Buy Now ,329,13085,13197,14846,15004,16142,10747,16955,0.000%,.56389,0.53,0.33
Instabuy pop-up,316,365,330,563,618,867,170,1766,0.000%,.56425,0.36,0.17
Exchange Pop-up,316,559,528,867,974,1179,240,1324,0.000%,.56408,2.02,0.14
Remove Exchange,316,393,379,609,670,843,170,923,0.000%,.56406,0.44,0.20
Deactivate Exchange,316,400,370,599,707,898,179,1236,0.000%,.56413,0.44,0.20
Notify Me (if product is out of stock) ,316,307,284,475,540,689,135,821,0.000%,.56440,0.43,0.27
Place Order,315,1309,1190,2085,2369,2865,504,3201,0.000%,.56245,0.53,0.21
TOTAL,6245,2932,854,11649,13476,15161,12,16999,0.000%,10.05039,89.63,4.02
