Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,166,206,198,250,278,321,137,370,0.000%,.53817,0.42,0.14
Send OTP ,166,511,504,561,590,646,433,671,0.000%,.53766,0.40,0.18
OpenLogin,166,1666,1292,2918,3460,5431,880,8893,0.000%,.53628,3.43,0.24
Product Listing Page (PLP),166,15,15,18,20,25,12,45,0.000%,.53795,17.05,0.30
Get Product List for Compare,166,239,231,293,306,383,155,448,0.000%,.53759,0.43,0.19
To Add Product To Compare,165,712,721,865,966,1105,188,1373,0.000%,.53393,0.42,0.23
Get Compare List after adding Product,164,832,804,1023,1050,1127,560,1241,0.000%,.53255,0.69,0.19
To Remove Product from Compare List ,164,655,715,856,912,1016,179,1133,0.000%,.53235,0.42,0.21
Product Description Page (PDP),163,1228,1229,1429,1522,1630,757,1685,0.000%,.52937,57.58,0.15
Get Product details with seller,162,1129,1128,1284,1352,1487,751,1671,0.000%,.52816,3.05,0.16
Add Product to WishList,161,1981,1994,2234,2420,2480,1264,2607,0.000%,.52451,0.37,0.17
Add To Cart,160,3308,3259,4859,5556,7154,1146,10620,16.250%,.52279,0.49,0.44
Buy Now ,159,3389,3389,5142,5741,6149,1044,9668,16.981%,.52191,0.50,0.31
Instabuy pop-up,157,770,247,1911,2025,3491,158,7184,3.822%,.53285,0.81,0.16
Exchange Pop-up,157,367,361,430,473,523,233,635,0.000%,.53263,1.90,0.13
Remove Exchange,157,259,250,315,340,397,174,449,0.000%,.53279,0.41,0.19
Deactivate Exchange,157,265,262,328,343,370,187,400,0.000%,.53292,0.41,0.19
Notify Me (if product is out of stock) ,157,204,197,258,280,316,141,386,0.000%,.53319,0.41,0.25
Place Order,157,1347,876,2329,2718,6828,205,10429,1.274%,.53227,0.53,0.20
TOTAL,3070,1001,681,2195,3455,5318,12,10620,1.987%,9.78701,87.94,3.91
