Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,346,230,216,315,357,424,137,482,0.000%,.56734,0.44,0.15
Send OTP ,346,544,525,663,694,786,410,915,0.000%,.56703,0.42,0.19
OpenLogin,346,11101,10995,11478,11869,12732,10709,13155,0.000%,.55769,3.59,0.25
Product Listing Page (PLP),338,16,15,18,21,52,12,184,0.000%,.56411,17.88,0.31
Get Product List for Compare,338,316,276,463,551,841,159,862,0.000%,.56391,0.45,0.20
To Add Product To Compare,337,965,823,1464,1885,2832,176,3004,0.000%,.56292,0.45,0.24
Get Compare List after adding Product,337,1089,940,1602,2184,3103,525,3231,0.000%,.56282,0.77,0.20
To Remove Product from Compare List ,336,842,752,1275,1774,2814,181,5095,0.000%,.56275,0.45,0.23
Product Description Page (PDP),336,1747,1463,2307,3466,4514,792,26695,0.000%,.56193,61.01,0.16
Get Product details with seller,335,1687,1330,2286,3069,3830,830,52856,0.000%,.53690,3.10,0.16
Add Product to WishList,334,2580,2257,3566,4500,6295,1374,11645,0.000%,.56232,0.39,0.18
Add To Cart,332,12904,13011,14423,14734,16348,10774,34204,0.000%,.55726,0.54,0.47
Buy Now ,326,12909,13074,14509,14731,16154,10777,16957,0.000%,.55786,0.55,0.33
Instabuy pop-up,321,3764,310,11790,12030,12545,156,12607,3.115%,.56318,0.85,0.17
Exchange Pop-up,319,437,401,632,712,881,235,1036,0.000%,.56861,2.03,0.14
Remove Exchange,319,305,276,442,475,560,169,654,0.000%,.56873,0.44,0.20
Deactivate Exchange,319,312,283,436,517,664,177,700,0.000%,.56875,0.44,0.21
Notify Me (if product is out of stock) ,319,239,215,339,389,479,132,564,0.000%,.56883,0.44,0.27
Place Order,319,3279,992,12002,12423,13429,198,52607,0.000%,.55766,15.75,0.20
TOTAL,6303,2914,700,11523,13133,14527,12,52856,0.159%,9.86362,102.33,3.94
