Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,608,1552,1630,1837,1910,2087,169,4225,0.000%,.67370,0.52,0.17
Send OTP ,605,2375,2431,2730,2819,2949,622,5536,0.000%,.67221,0.50,0.23
OpenLogin,605,17674,16102,21276,21596,22115,11195,22684,0.000%,.66317,4.26,0.30
Product Listing Page (PLP),599,14,14,18,19,22,12,102,0.000%,.67519,21.40,0.37
Get Product List for Compare,599,2209,2284,2555,2608,2723,1006,2785,0.000%,.67335,0.54,0.24
To Add Product To Compare,598,7529,7899,8820,9014,9336,1976,12167,0.000%,.66949,0.53,0.28
Get Compare List after adding Product,592,5818,7190,8869,9155,9827,1220,10608,0.000%,.66526,0.81,0.24
To Remove Product from Compare List ,590,6862,7733,8806,8981,9392,397,9965,0.000%,.66431,0.54,0.27
Product Description Page (PDP),582,11960,12375,13853,14292,14831,2381,16355,0.000%,.65245,70.82,0.19
Get Product details with seller,567,11434,11773,12920,13192,13646,2534,16988,0.000%,.63737,3.69,0.19
Add Product to WishList,557,17759,18089,19786,20566,22350,8468,23929,0.000%,.62810,0.44,0.20
Add To Cart,541,25765,28351,30702,31121,32428,15370,36000,0.000%,.61123,0.58,0.51
Buy Now ,530,25715,28508,30549,31112,32076,16079,35052,0.000%,.61121,0.58,0.36
Instabuy pop-up,514,2242,2251,2511,2605,2935,1298,3819,0.000%,.61949,0.40,0.19
Exchange Pop-up,513,3549,3554,3999,4074,4283,2345,5310,0.000%,.61930,2.21,0.15
Remove Exchange,512,2382,2409,2727,2795,2949,1435,3676,0.000%,.62511,0.48,0.23
Deactivate Exchange,512,2380,2418,2710,2774,2908,1486,4166,0.000%,.62514,0.49,0.23
Notify Me (if product is out of stock) ,512,1822,1828,2062,2127,2258,1178,5082,0.000%,.62565,0.48,0.30
Place Order,511,8963,9162,10293,10537,11038,5721,13034,0.000%,.62198,0.59,0.23
TOTAL,10647,8287,4032,19657,28469,30648,12,36000,0.000%,11.58848,106.28,4.62
