Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,54,387,360,590,622,662,182,866,0.000%,.18154,0.14,0.05
Send OTP ,54,749,684,1034,1085,1121,473,1205,0.000%,.18112,0.13,0.06
OpenLogin ,54,3259,2356,7470,7955,9126,1277,12917,0.000%,.18003,17.33,0.08
Product Listing Page (PLP),54,15,14,20,23,25,11,32,0.000%,.18082,5.97,0.10
Get Product List for Compare,54,440,433,691,829,893,159,1016,0.000%,.18073,0.14,0.05
To Add Product To Compare,54,1557,1496,2278,2686,2983,698,3207,0.000%,.17995,0.15,0.07
Get Compare List after adding Product,54,1422,1313,2131,2321,2666,495,2699,0.000%,.17932,0.22,0.06
To Remove Product from Compare List ,52,1479,1370,2243,2287,2834,675,3389,0.000%,.17678,0.14,0.06
Product Description Page (PDP),52,2402,2210,3373,3915,4275,1173,4831,0.000%,.17619,16.19,0.05
Get Product details with seller,52,2457,2231,3375,4138,4323,1052,5262,0.000%,.17603,3.50,0.05
Add Product to WishList,51,3091,3026,3919,4132,5540,1390,6023,0.000%,.17422,0.12,0.06
Add To Cart,49,7187,6509,11982,13454,14748,3439,14748,0.000%,.17215,0.19,0.14
Buy Now ,49,7730,6975,10263,13381,19433,3985,19433,0.000%,.17340,0.19,0.10
Instabuy pop-up,48,3079,3096,3962,4568,4856,1737,4856,0.000%,.17509,0.83,0.05
Exchange Pop-up,47,817,824,1182,1433,1459,334,1459,0.000%,.17743,0.63,0.04
Remove Exchange,47,558,539,785,863,1075,244,1075,0.000%,.17755,0.14,0.06
Deactivate Exchange,47,606,596,895,960,1132,173,1132,0.000%,.17736,0.14,0.06
Notify Me (if product is out of stock),47,436,405,662,691,871,136,871,0.000%,.17766,0.14,0.08
Place Order,46,4671,3799,8502,13575,15753,259,15753,0.000%,.17064,0.20,0.06
TOTAL,965,2194,1334,5578,7246,12989,11,19433,0.000%,3.04189,43.40,1.17
