Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,216,216,216,216,216,216,216,0.000%,4.62963,3.59,1.19
Send OTP ,1,473,473,473,473,473,473,473,0.000%,2.11416,1.57,0.71
OpenLogin,1,3960,3960,3960,3960,3960,3960,3960,0.000%,.25253,3.62,0.11
Product Listing Page (PLP),1,55,55,55,55,55,55,55,0.000%,18.18182,600.53,10.03
Get Product List for Compare,1,154,154,154,154,154,154,154,0.000%,6.49351,5.19,1.94
To Add Product To Compare,1,460,460,460,460,460,460,460,0.000%,2.17391,1.71,0.82
Get Compare List after adding Product,1,462,462,462,462,462,462,462,0.000%,2.16450,2.35,0.67
To Remove Product from Compare List ,1,483,483,483,483,483,483,483,0.000%,2.07039,1.64,0.74
Product Description Page (PDP),1,734,734,734,734,734,734,734,0.000%,1.36240,28.97,0.37
Get Product details with seller,1,706,706,706,706,706,706,706,0.000%,1.41643,26.46,0.41
Add Product to WishList,1,1020,1020,1020,1020,1020,1020,1020,0.000%,.98039,0.69,0.31
Add To Cart,1,5613,5613,5613,5613,5613,5613,5613,0.000%,.17816,0.19,0.15
Buy Now ,1,5366,5366,5366,5366,5366,5366,5366,0.000%,.18636,0.20,0.11
Instabuy pop-up,1,1205,1205,1205,1205,1205,1205,1205,0.000%,.82988,4.46,0.25
Exchange Pop-up,1,243,243,243,243,243,243,243,0.000%,4.11523,14.72,1.02
Remove Exchange,1,169,169,169,169,169,169,169,0.000%,5.91716,4.58,2.12
Deactivate Exchange,1,171,171,171,171,171,171,171,0.000%,5.84795,4.55,2.10
Notify Me (if product is out of stock) ,1,133,133,133,133,133,133,133,0.000%,7.51880,5.78,3.44
Place Order,1,6059,6059,6059,6059,6059,6059,6059,0.000%,.16504,0.20,0.06
TOTAL,19,1456,473,5366,5613,6059,55,6059,0.000%,.68580,3.88,0.26
