Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,125,67,59,91,141,193,42,202,0.000%,.40529,0.40,0.10
OpenLogin ,125,2035,1758,2468,5456,5940,1183,6322,0.000%,.40243,0.67,0.21
TriggerOTP,124,1288,1252,1642,1812,2482,683,2561,0.000%,.40349,1.46,0.29
Product Listing Page (PLP),124,25,23,37,40,56,17,66,0.000%,.40437,12.98,0.20
Get Product List for Compare,124,429,399,639,673,767,175,806,0.000%,.40370,0.33,0.12
To Add Product To Compare,124,1241,1198,1813,1943,2047,489,2181,0.000%,.40136,0.33,0.15
Get Compare List after adding Product,123,1212,1140,1781,1908,2131,556,2215,0.000%,.40285,0.50,0.13
To Remove Product from Compare List ,123,1258,1198,1854,2014,2103,529,2181,0.000%,.40094,0.32,0.15
Get Compare List after removing Product,122,468,422,645,746,1222,248,1239,0.000%,.39829,0.33,0.12
Product Description Page (PDP),121,703,684,950,1028,1160,344,1230,0.000%,.39599,6.47,0.11
Get Product details with seller,121,718,701,949,1031,1254,364,1393,0.000%,.39540,2.08,0.12
Add Product to WishList,120,2190,2110,3052,3311,3582,1156,4128,0.000%,.39084,0.28,0.11
Notify Me (if product is out of stock),118,407,396,547,621,685,203,719,0.000%,.39128,0.31,0.18
Add To Cart,118,2662,3086,4115,4282,4732,478,4735,0.000%,.38648,0.37,0.23
Buy Now ,116,2754,3333,4197,4526,4987,466,5577,0.000%,.38720,0.37,0.22
Instabuy pop-up,116,1931,2335,2916,3278,4010,294,4573,0.000%,.38819,0.95,0.12
Exchange Pop-up,115,775,743,1011,1172,1288,385,1326,0.000%,.39858,1.45,0.10
Remove Exchange,115,490,472,672,729,808,270,815,0.000%,.39849,0.31,0.15
Deactivate Exchange,115,512,503,682,724,897,313,904,0.000%,.39842,0.32,0.15
Place Order,115,3604,3584,4949,9608,11100,738,11761,0.000%,.39643,0.37,0.15
TOTAL,2404,1228,822,3055,3739,4890,17,11761,0.000%,7.68375,29.80,3.02
