Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,54,54,54,54,54,54,54,0.000%,18.51852,18.19,4.79
OpenLogin ,1,945,945,945,945,945,945,945,0.000%,1.05820,1.75,0.55
TriggerOTP,1,539,539,539,539,539,539,539,0.000%,1.85529,6.78,1.32
Product Listing Page (PLP),1,26,26,26,26,26,26,26,0.000%,38.46154,1234.19,19.49
Get Product List for Compare,1,183,183,183,183,183,183,183,0.000%,5.46448,4.45,1.66
To Add Product To Compare ,3,434,402,502,502,502,399,502,0.000%,1.26582,1.20,0.48
Get Compare List after adding Product,3,430,415,464,464,464,412,464,0.000%,1.28700,2.02,0.40
To Remove Product from Compare List,3,398,394,411,411,411,390,411,0.000%,2.30415,2.00,0.84
Product Description Page (PDP),1,417,417,417,417,417,417,417,0.000%,2.39808,16.05,0.66
Get Product details with seller,1,284,284,284,284,284,284,284,0.000%,3.52113,18.55,1.02
Add Product to WishList,1,848,848,848,848,848,848,848,0.000%,1.17925,0.84,0.35
Add To Cart,1,1698,1698,1698,1698,1698,1698,1698,0.000%,.58893,0.56,0.34
Buy Now ,1,2108,2108,2108,2108,2108,2108,2108,0.000%,.47438,0.46,0.27
Instabuy pop-up,1,1043,1043,1043,1043,1043,1043,1043,0.000%,.95877,3.11,0.30
Exchange Pop-up,1,237,237,237,237,237,237,237,0.000%,4.21941,15.29,1.06
Remove Exchange,1,158,158,158,158,158,158,158,0.000%,6.32911,4.99,2.34
Deactivate Exchange,1,157,157,157,157,157,157,157,0.000%,6.36943,5.05,2.36
Notify Me (if product is out of stock),1,127,127,127,127,127,127,127,0.000%,7.87402,6.17,3.65
Place Order,1,1405,1405,1405,1405,1405,1405,1405,0.000%,.71174,0.70,0.27
TOTAL,25,560,411,1043,1698,2108,26,2108,0.000%,1.72509,5.12,0.67
