Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,200,12724,12154,21986,23871,37228,720,40058,0.000%,.25624,0.20,0.07
TriggerOTP,200,13972,15754,21672,22582,27011,421,28239,0.500%,.24862,0.18,0.08
OpenLogin ,200,41922,45650,59930,62746,65992,2496,77798,0.000%,.22719,24.58,0.10
Product Listing Page (PLP),200,42,28,41,48,651,10,832,0.000%,.22815,6.66,0.13
Get Product List for Compare,200,17381,19428,23040,23985,28765,1313,30024,0.000%,.22121,0.18,0.07
To Add Product To Compare,198,23161,23941,28720,32372,35919,5149,36927,0.000%,.21494,0.18,0.08
Get Compare List after adding Product,196,23009,23616,30447,32337,35426,4748,35827,0.000%,.21705,0.21,0.07
To Remove Product from Compare List ,189,25400,25593,31834,32764,33493,9672,34064,0.000%,.20987,0.17,0.07
Product Description Page (PDP),175,30412,30962,37322,40159,44002,12714,44564,0.000%,.19511,6.24,0.05
Get Product details with seller,174,31953,31080,39093,42329,43060,20538,44732,0.000%,.19850,1.24,0.06
Add Product to WishList,164,35585,35809,41138,42588,46393,22547,46668,0.000%,.19064,0.13,0.06
Add To Cart,144,69137,70702,104196,109686,111883,24743,113102,1.389%,.16901,0.17,0.14
Buy Now ,127,68836,69542,99456,101285,113600,27660,115287,0.000%,.16014,0.17,0.09
Instabuy pop-up,112,39370,36227,66768,72653,78119,22194,78459,0.000%,.15268,0.52,0.05
Exchange Pop-up,106,29759,25543,41132,64565,65006,11595,65106,0.000%,.15115,0.54,0.04
Remove Exchange,103,24482,21506,37312,39803,64039,9951,64665,0.000%,.15501,0.12,0.06
Deactivate Exchange,102,24530,20913,39646,64009,64788,10377,65168,0.000%,.16532,0.13,0.06
Notify Me (if product is out of stock),101,22027,18742,32651,41247,63387,9815,63451,0.000%,.17056,0.13,0.08
Place Order,100,52392,66954,81693,83127,85762,14639,85767,0.000%,.25945,92.03,0.08
TOTAL,2991,28944,24919,60552,76055,99606,10,115287,0.100%,3.13670,75.49,1.19
