Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,214,7812,8708,10976,11288,12448,531,13055,0.000%,.16523,0.13,0.04
TriggerOTP,213,8693,9594,12026,12355,12875,471,13999,0.000%,.16496,0.12,0.06
OpenLogin ,210,30353,26673,53800,57524,60949,2869,62987,0.000%,.16076,15.13,0.07
Product Listing Page (PLP),203,16,12,29,34,44,9,61,0.000%,.15863,4.63,0.09
Get Product List for Compare,203,8637,9246,11607,11954,12991,320,13584,0.000%,.15761,0.13,0.05
To Add Product To Compare,202,13253,13842,16530,16912,17456,948,17652,0.000%,.15673,0.13,0.06
Get Compare List after adding Product,200,12452,13126,15976,16591,17695,914,18150,0.000%,.15580,0.18,0.05
To Remove Product from Compare List ,198,13491,14066,16065,16928,17607,716,17796,0.000%,.15390,0.12,0.06
Product Description Page (PDP),196,17021,17359,19680,20029,21434,4289,21645,0.000%,.15243,15.59,0.04
Get Product details with seller,193,17104,17528,19644,19979,20728,6291,21165,0.000%,.15315,2.24,0.04
Add Product to WishList,193,20184,20372,23320,24004,24917,9600,25835,0.000%,.15185,0.11,0.05
Add To Cart,189,43027,39212,65120,67607,73919,17,77714,12.169%,.14928,0.15,0.12
Buy Now ,185,41620,36912,62589,67139,69800,18194,72705,10.270%,.14823,0.15,0.09
Instabuy pop-up,176,16964,17519,20040,20850,21928,33,24025,9.091%,.14443,0.57,0.04
Exchange Pop-up,175,11087,11145,13195,13673,14371,7666,14376,0.000%,.14662,0.52,0.04
Remove Exchange,174,10175,10270,12381,12800,13324,7,13636,0.575%,.14709,0.12,0.05
Deactivate Exchange,172,9999,9993,11960,12539,13325,6191,13923,0.000%,.14722,0.11,0.05
Notify Me (if product is out of stock),170,9507,9525,11647,12028,12787,5927,13612,0.000%,.14826,0.11,0.07
Place Order,169,21373,13151,55759,57777,69253,6705,71790,0.000%,.14638,16.08,0.05
TOTAL,3635,16369,12777,33883,45915,65120,7,77714,1.623%,2.76893,53.63,1.07
