Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,1,180,180,180,180,180,180,180,0.000%,5.55556,4.30,1.43
TriggerOTP ,1,410,410,410,410,410,410,410,0.000%,2.43902,1.81,0.82
OpenLogin,1,2938,2938,2938,2938,2938,2938,2938,0.000%,.34037,4.88,0.15
Product Listing Page (PLP),1,30,30,30,30,30,30,30,0.000%,33.33333,972.69,18.39
Get Product List for Compare,1,118,118,118,118,118,118,118,0.000%,8.47458,6.76,2.53
To Add Product To Compare,1,324,324,324,324,324,324,324,0.000%,3.08642,2.42,1.17
Get Compare List after adding Product,1,305,305,305,305,305,305,305,0.000%,3.27869,3.58,1.01
To Remove Product from Compare List ,1,325,325,325,325,325,325,325,0.000%,3.07692,2.42,1.11
Product Description Page (PDP),1,594,594,594,594,594,594,594,0.000%,1.68350,128.91,0.46
Get Product details with seller,2,550,549,551,551,551,549,551,0.000%,1.81818,24.82,0.53
Add Product to WishList,1,782,782,782,782,782,782,782,0.000%,1.27877,0.89,0.40
Add To Cart,1,4329,4329,4329,4329,4329,4329,4329,0.000%,.23100,0.25,0.19
Buy Now ,1,4137,4137,4137,4137,4137,4137,4137,0.000%,.24172,0.26,0.14
Instabuy pop-up,1,963,963,963,963,963,963,963,0.000%,1.03842,5.15,0.32
Exchange Pop-up,1,175,175,175,175,175,175,175,0.000%,5.71429,20.43,1.41
Remove Exchange,1,132,132,132,132,132,132,132,0.000%,7.57576,5.86,2.72
Deactivate Exchange,1,131,131,131,131,131,131,131,0.000%,7.63359,5.93,2.74
Notify Me (if product is out of stock) ,1,101,101,101,101,101,101,101,0.000%,9.90099,7.60,4.55
Place Order,1,5376,5376,5376,5376,5376,5376,5376,0.000%,.18601,0.22,0.07
TOTAL,20,1122,325,4137,4329,5376,30,5376,0.000%,.89031,7.45,0.34
