Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,143,55,50,67,78,150,38,460,0.00%,0.46137,0.45,0.12
OpenLogin ,143,5022,6401,8518,8802,9541,1305,9936,0.00%,0.45429,0.75,0.24
TriggerOTP,140,1091,1156,1640,1751,2156,293,2333,29.29%,0.45654,1.47,0.32
Get Product List for Compare,140,316,311,415,436,470,151,514,0.00%,0.45848,0.37,0.14
Product Listing Page (PLP),140,19,18,21,25,72,14,76,0.00%,0.45868,14.72,0.23
To Add Product To Compare ,140,946,945,1177,1274,1428,604,1731,0.00%,0.45741,0.38,0.17
Get Compare List after adding Product,140,872,849,1104,1183,1279,424,1336,0.00%,0.45695,0.57,0.14
To Remove Product from Compare List,139,979,967,1213,1264,1354,618,1512,0.00%,0.45775,0.37,0.16
Product Description Page (PDP),139,461,459,564,611,674,271,678,0.00%,0.4584,4.14,0.13
Get Product details with seller,139,463,468,562,599,694,276,701,0.00%,0.45842,2.27,0.13
Add Product to WishList,139,1952,1465,4384,4589,5113,135,5346,29.50%,0.45285,0.33,0.13
Notify Me (if product is out of stock),137,303,302,396,421,492,147,590,0.00%,0.45456,0.36,0.21
Add To Cart,137,2267,2869,3612,3752,4408,179,4923,0.00%,0.45145,0.42,0.26
Buy Now ,136,2112,2599,3305,3524,3908,174,7135,0.00%,0.45181,0.42,0.26
Instabuy pop-up,134,1618,1926,2514,2659,3658,199,10990,5.97%,0.44831,1.12,0.14
Exchange Pop-up,134,582,587,713,740,816,321,1235,0.00%,0.44763,1.62,0.11
Remove Exchange,133,374,374,479,523,611,172,635,0.00%,0.44983,0.36,0.17
Deactivate Exchange,133,420,414,516,573,733,238,824,0.00%,0.44958,0.36,0.17
Place Order,133,2456,391,9119,9795,11070,193,11489,0.00%,0.44964,12.71,0.16
TOTAL,2619,1177,518,2972,4267,8731,14,11489,3.44%,8.31841,41.39,3.28
