Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,99,55,52,63,84,118,42,120,0.000%,.32434,0.32,0.08
OpenLogin ,99,3372,3882,5731,6430,7776,1024,8300,0.000%,.32284,0.54,0.17
TriggerOTP,97,642,663,883,936,966,229,1239,18.557%,.32023,1.08,0.23
Product Listing Page (PLP),97,18,18,21,25,37,15,37,0.000%,.32101,10.30,0.16
Get Product List for Compare,97,195,175,219,231,286,137,1861,0.000%,.32087,0.26,0.10
To Add Product To Compare ,97,562,550,659,714,738,441,914,0.000%,.32051,0.26,0.12
Get Compare List after adding Product,97,503,496,583,625,904,377,917,0.000%,.32055,0.38,0.10
To Remove Product from Compare List,96,549,541,616,649,721,433,756,0.000%,.32068,0.26,0.12
Product Description Page (PDP),96,292,278,349,395,481,216,504,0.000%,.32091,2.93,0.09
Get Product details with seller,96,281,276,337,347,385,215,450,0.000%,.32105,1.59,0.09
Add Product to WishList,96,1499,896,3163,3485,4080,107,4567,18.750%,.32045,0.23,0.09
Notify Me (if product is out of stock),96,187,164,200,221,279,124,1828,0.000%,.32046,0.25,0.15
Add To Cart,96,1584,1810,2310,2424,2929,147,3080,0.000%,.31874,0.29,0.18
Buy Now ,95,1551,1697,2121,2408,2716,138,4002,0.000%,.32043,0.30,0.18
Instabuy pop-up,95,1182,1353,1601,1654,2098,125,3770,7.368%,.31897,0.91,0.10
Exchange Pop-up,95,308,306,349,371,499,234,504,0.000%,.31884,1.16,0.08
Remove Exchange,95,210,207,244,267,289,150,530,0.000%,.31915,0.25,0.12
Deactivate Exchange,95,259,234,287,345,532,179,1583,0.000%,.31912,0.25,0.12
Place Order,95,2647,2420,6243,6639,8368,143,9414,0.000%,.31405,6.29,0.12
TOTAL,1829,838,324,2075,3348,6213,15,9414,2.351%,5.91794,27.16,2.33
