Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login Ui Page,429,55,50,70,87,148,35,460,0.00%,0.25761,0.25,0.07
OpenLogin ,429,8047,6902,17006,18586,21406,1305,22646,0.00%,0.25542,0.42,0.13
TriggerOTP,421,2310,1856,3840,4166,7109,293,10325,36.82%,0.25319,0.79,0.18
Get Product List for Compare,421,1190,1437,1943,2125,2376,151,2474,0.00%,0.25324,0.21,0.08
Product Listing Page (PLP),419,18,18,21,23,35,14,96,0.00%,0.25267,8.11,0.13
To Add Product To Compare ,419,3211,4113,4745,4879,5415,604,5597,0.00%,0.25207,0.21,0.1
Get Compare List after adding Product,418,3179,4041,4926,5062,5414,424,5945,0.00%,0.25145,0.33,0.08
To Remove Product from Compare List,415,3219,4097,4707,4910,5133,618,5413,0.00%,0.24965,0.2,0.09
Product Description Page (PDP),413,1521,1861,2354,2494,2675,271,3017,0.00%,0.24864,2.25,0.07
Get Product details with seller,411,1517,1875,2333,2508,2685,276,2980,0.00%,0.24765,1.22,0.07
Add Product to WishList,410,4378,2101,10451,10873,11447,135,12435,36.83%,0.24643,0.18,0.07
Notify Me (if product is out of stock),407,1124,1358,1752,1955,2227,147,2467,0.00%,0.24541,0.19,0.11
Add To Cart,406,4957,3123,10347,11028,12059,179,14219,0.00%,0.2444,0.22,0.14
Buy Now ,402,4574,2839,9499,9833,10556,174,14507,0.00%,0.24256,0.22,0.14
Instabuy pop-up,397,3556,2179,7298,7926,9833,199,10990,3.28%,0.23976,0.55,0.07
Exchange Pop-up,395,1914,2380,2899,3056,3329,321,3543,0.00%,0.23935,0.87,0.06
Remove Exchange,394,1325,1599,2120,2304,2519,172,3478,0.00%,0.23869,0.19,0.09
Deactivate Exchange,394,1363,1654,2126,2282,2438,238,2623,0.00%,0.23849,0.19,0.09
Place Order,393,4596,1748,16833,18143,22539,193,26212,0.00%,0.23784,9.57,0.09
TOTAL,7793,2740,1743,6848,9788,17031,14,26212,4.09%,4.63974,25.83,1.83
